"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000419",349.366458715997,1.23697119257473,0.199824379789004,6.19029166451492,6.0052991597222e-10,6.37973028239074e-09
"ENSG00000000460",263.320233919631,1.20466972417126,0.229590470249147,5.24703713905883,1.54564749869651e-07,1.11669775796013e-06
"ENSG00000000971",279.217200321107,1.42886684912748,0.374612537815336,3.81425260740161,0.000136595694215755,0.000554138210051094
"ENSG00000001629",1965.30903170719,1.36456838090216,0.193835800160518,7.03981606995272,1.92493759470043e-12,2.97297160180926e-11
"ENSG00000002330",261.808088817922,1.89814243352579,0.22219456676379,8.54270408665602,1.31116850847549e-17,3.92907090814865e-16
"ENSG00000002746",38.4320781522664,-3.7172972655018,0.46709553148898,-7.95832332981652,1.74386166883386e-15,4.06595115417579e-14
"ENSG00000002822",859.521758292447,1.4583955874542,0.196522952232417,7.42099368489756,1.16244860138717e-13,2.12795343146494e-12
"ENSG00000003096",24.5149535494072,2.20197456949453,0.771632305797872,2.8536578276329,0.00432190539431641,0.0120012792917813
"ENSG00000003756",4215.76105091746,-1.05872747296409,0.117651950770789,-8.99880933573908,2.28178795483762e-19,8.49438709237872e-18
"ENSG00000004059",2460.36231933494,1.62028010046462,0.178962750516815,9.05372819642925,1.38168464851029e-19,5.27660602836259e-18
"ENSG00000004142",838.449345594461,1.42436578176802,0.175185611944988,8.1306093916851,4.27137644075845e-16,1.08126843614628e-14
"ENSG00000004534",1584.5974086861,-1.160383880643,0.173936760348973,-6.67129753546577,2.53551575510677e-11,3.31174490273897e-10
"ENSG00000004766",1191.12097486986,1.42518564746157,0.265660623069213,5.3646853304649,8.10904611611095e-08,6.11977415577027e-07
"ENSG00000004779",251.70708163227,1.18794786716336,0.230060617876892,5.16362982124584,2.42206461811054e-07,1.69506260003628e-06
"ENSG00000004799",787.795093635537,1.65313010123029,0.250798866324044,6.59145763081067,4.35529122926265e-11,5.50469048377561e-10
"ENSG00000004809",89.3164732972476,1.29377068482961,0.369709051147926,3.49942929666591,0.000466255239348589,0.00167632412577918
"ENSG00000005059",1140.52113058792,1.1117674778147,0.23437318155473,4.74357804267414,2.09975995522309e-06,1.23860673790124e-05
"ENSG00000005102",42.3284120202934,1.78779982833047,0.435340435355212,4.10667074119069,4.01402775385635e-05,0.000184270911394649
"ENSG00000005189",54.848135433183,1.76267724697809,0.469895903643612,3.75120794480255,0.000175984664766269,0.000694841412579832
"ENSG00000005194",633.707123755962,1.20545207451696,0.170381013030788,7.07503760585774,1.49408238230099e-12,2.3540432555756e-11
"ENSG00000005243",23.7531642673976,1.48375628174405,0.491147275986533,3.02100073499082,0.00251940748470091,0.0074905873538423
"ENSG00000005249",1401.26006639253,1.26658195810355,0.295575768497614,4.28513461892183,1.82628568717919e-05,9.03287561690044e-05
"ENSG00000005339",3680.65506798529,-2.24130943382601,0.18742135167994,-11.9586664685542,5.84937201650951e-33,7.29935719243299e-31
"ENSG00000005379",787.042106165981,-1.17767274018954,0.325290048344006,-3.62037740221339,0.000294173614314324,0.00110377395094223
"ENSG00000005381",305.634561605878,1.28256937608986,0.464384100544194,2.76187185260407,0.00574710305749373,0.0154176422353839
"ENSG00000005436",263.367057377218,1.3547450040774,0.288991282944357,4.68784037454252,2.76103239884645e-06,1.58471693287279e-05
"ENSG00000005448",152.623035626249,1.66457711617326,0.235226486530843,7.07648675420314,1.47854879070997e-12,2.33095058464241e-11
"ENSG00000005513",19.5571111282549,1.3140314675378,0.547070174255133,2.40194316812634,0.0163082418566551,0.0380272891086844
"ENSG00000005893",3229.60679938622,-1.47302793520381,0.26438530754348,-5.57151964642195,2.52526881275181e-08,2.09297302909084e-07
"ENSG00000005961",2332.30228424364,2.2762776473845,0.332854614282646,6.83865432447207,7.99405176664575e-12,1.1266272320119e-10
"ENSG00000006015",472.944103830181,1.82846692877873,0.149862262301362,12.2009830940748,3.07093707433734e-34,4.25132851228575e-32
"ENSG00000006042",7.12949990509114,-1.96148663871864,0.822235842074806,-2.38555234197658,0.0170534954195514,0.0395223566354239
"ENSG00000006282",515.259056854536,1.21267023119446,0.174887798163668,6.93398992912922,4.09133792444958e-12,6.02480676076841e-11
"ENSG00000006534",1119.70302146706,1.2544038934077,0.230758197777805,5.4360100983955,5.44868681390984e-08,4.26084423400187e-07
"ENSG00000006634",232.894630677721,1.20779676572518,0.298267938361017,4.04936840467006,5.13560459524998e-05,0.000229750523140975
"ENSG00000006638",197.159985145851,-1.01176693680833,0.220710179790275,-4.58414259718217,4.55853076412831e-06,2.52165968180084e-05
"ENSG00000006704",61.3509387043341,-1.38726170560878,0.384810902555245,-3.60504782062307,0.000312095454996851,0.00116509792047982
"ENSG00000006757",99.1880049265331,1.72962154977269,0.337428288946425,5.12589372744413,2.96129616003398e-07,2.03306591061653e-06
"ENSG00000007038",26.2478537562972,2.86636845709698,0.671378001371853,4.26938096160437,1.96016227548568e-05,9.64048682382761e-05
"ENSG00000007080",201.16923996566,1.14049658206316,0.168795162422326,6.75668997675201,1.41179829362917e-11,1.9155486801768e-10
"ENSG00000007168",3906.38517911503,-1.01577666570229,0.154198564829577,-6.58745862404714,4.47418611044314e-11,5.64422718631128e-10
"ENSG00000007174",5.69161147478898,-1.96388479972721,0.795756466369566,-2.46794701988025,0.0135890430573291,0.0325255978805769
"ENSG00000007255",407.631314962265,2.59831130133055,0.200644535864924,12.9498233785931,2.35495247685821e-38,4.67124155484264e-36
"ENSG00000007264",915.582000764342,1.22841890427217,0.22298215493698,5.50904580063525,3.6078403432751e-08,2.90771365446489e-07
"ENSG00000007312",1415.63195504489,2.24811094234782,0.297680962852345,7.55208166759028,4.2835572974066e-14,8.31072649380055e-13
"ENSG00000007341",402.468496036763,1.27546245237346,0.198006386126959,6.44152179796692,1.18281456959101e-10,1.39050027685666e-09
"ENSG00000007350",137.994546580637,1.03449701085831,0.345648948052593,2.9929123658172,0.00276329082433635,0.00813020479420636
"ENSG00000007376",410.981535974372,1.87566294484423,0.226362111818788,8.2861170085998,1.17005677855494e-16,3.1509735738592e-15
"ENSG00000007392",1149.07390706019,-1.23086180363316,0.156422786744252,-7.86881393211329,3.58019185014369e-15,7.99005032550959e-14
"ENSG00000007402",264.770134587454,-1.01163556359714,0.314695874406387,-3.21464514113952,0.00130605869169322,0.00420533495156944
"ENSG00000007520",293.676558003709,1.62405762514543,0.201720517196531,8.0510284611414,8.21011735254597e-16,1.99292163680979e-14
"ENSG00000007923",371.926915602511,-1.01477570949564,0.19379161117342,-5.23642743538335,1.63714565388685e-07,1.17928116351628e-06
"ENSG00000007944",1298.30372963636,-1.06956026819683,0.184442236823848,-5.7988901382622,6.67552454708079e-09,6.10163144640328e-08
"ENSG00000008083",2146.55707877866,-1.27994372475859,0.188542144031491,-6.78863461181816,1.13199730137004e-11,1.55979721464052e-10
"ENSG00000008256",264.863468095587,-1.36340450087111,0.25631276762527,-5.31929998455796,1.04167259873029e-07,7.74696633303054e-07
"ENSG00000008294",2670.37404175845,-1.4506609426044,0.207889835094136,-6.97802729001884,2.9935352120618e-12,4.49030281809269e-11
"ENSG00000008324",368.295191572936,1.96660384557404,0.217865421180875,9.02669104126137,1.76941105923468e-19,6.68053209580366e-18
"ENSG00000008382",235.962350269691,1.52695475023272,0.19811068533687,7.70758400858723,1.28221900944778e-14,2.65018516882752e-13
"ENSG00000008394",249.601658730772,1.17408017061249,0.345964137423617,3.39364703912904,0.000689685219210683,0.00237428223372879
"ENSG00000008516",1975.347825152,-2.80570160133142,0.771295874923325,-3.63764632037003,0.000275140889833689,0.0010395515070049
"ENSG00000008517",6589.80518906885,1.60990939795712,0.210256608515144,7.65687894105438,1.90506054294677e-14,3.87129275470376e-13
