"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000001617",0,NA,NA,NA,NA,NA
"ENSG00000001626",0,NA,NA,NA,NA,NA
"ENSG00000002079",0,NA,NA,NA,NA,NA
"ENSG00000003137",0,NA,NA,NA,NA,NA
"ENSG00000003989",0.267324147494376,1.38499788793145,3.13951408535609,0.44115039788852,0.659104119933277,NA
"ENSG00000004776",0.110947747015413,-0.889192625347131,3.16074699792792,-0.281323568741837,0.77846223473073,NA
"ENSG00000004848",0,NA,NA,NA,NA,NA
"ENSG00000005073",0,NA,NA,NA,NA,NA
"ENSG00000005421",0.110947747015413,-0.889192625347131,3.16074699792792,-0.281323568741837,0.77846223473073,NA
"ENSG00000006016",0,NA,NA,NA,NA,NA
"ENSG00000006059",0,NA,NA,NA,NA,NA
"ENSG00000006071",0,NA,NA,NA,NA,NA
"ENSG00000006116",0,NA,NA,NA,NA,NA
"ENSG00000006128",0,NA,NA,NA,NA,NA
"ENSG00000006283",0.44554024582396,2.12135426682446,3.09472161931378,0.685474988633985,0.493044238255425,NA
"ENSG00000006377",0,NA,NA,NA,NA,NA
"ENSG00000006606",0,NA,NA,NA,NA,NA
"ENSG00000006611",0,NA,NA,NA,NA,NA
"ENSG00000006659",0.463107154535567,1.0824837186824,3.09050881384488,0.350260679999709,0.726143071268343,NA
"ENSG00000006788",0,NA,NA,NA,NA,NA
"ENSG00000007001",0,NA,NA,NA,NA,NA
"ENSG00000007216",0,NA,NA,NA,NA,NA
"ENSG00000007306",0.438830795669875,-2.4129799741524,3.11111383413887,-0.775600027126712,0.437985184363573,NA
"ENSG00000007372",0,NA,NA,NA,NA,NA
"ENSG00000007908",0.282176068038474,-0.471417946499355,3.15676052598891,-0.149335986248648,0.881288520712309,NA
"ENSG00000007952",0,NA,NA,NA,NA,NA
"ENSG00000008118",0.112626655979973,-0.889192625347131,3.16074699792792,-0.281323568741837,0.778462234730729,NA
"ENSG00000008196",0,NA,NA,NA,NA,NA
"ENSG00000008197",0,NA,NA,NA,NA,NA
"ENSG00000009709",0,NA,NA,NA,NA,NA
"ENSG00000009724",0.282959745935822,0.265026974570412,3.16074699792792,0.0838494744261896,0.933176111583944,NA
"ENSG00000010282",0.571626600373126,-2.79951425250956,2.85964376772886,-0.978973074934067,0.327593283430116,NA
"ENSG00000010932",0.747052082961577,2.87212969832747,3.067105268379,0.936430101678713,0.349051785508388,NA
"ENSG00000011332",0,NA,NA,NA,NA,NA
"ENSG00000011347",0.444370390673743,-2.42906126518176,3.11121699762485,-0.780743119826146,0.434953594150178,NA
"ENSG00000011677",0,NA,NA,NA,NA,NA
"ENSG00000012504",0,NA,NA,NA,NA,NA
"ENSG00000015413",0.110947747015413,-0.889192625347131,3.16074699792792,-0.281323568741837,0.77846223473073,NA
"ENSG00000016082",0,NA,NA,NA,NA,NA
"ENSG00000016402",0,NA,NA,NA,NA,NA
"ENSG00000016490",0,NA,NA,NA,NA,NA
"ENSG00000016602",0.112626655979973,-0.889192625347131,3.16074699792792,-0.281323568741837,0.778462234730729,NA
"ENSG00000018236",0,NA,NA,NA,NA,NA
"ENSG00000019186",0.691369328817659,2.00326793234084,2.75995362537358,0.725833910368579,0.4679405958453,NA
"ENSG00000019549",0.249017360987192,1.29766541669248,3.14644785317086,0.412422349661619,0.680029884516566,NA
"ENSG00000020219",0.098483806490123,0.26494899420384,3.16074699792792,0.0838248029271345,0.933195727533877,NA
"ENSG00000021852",0.116756664498754,-0.889192625347131,3.16074699792792,-0.281323568741837,0.77846223473073,NA
"ENSG00000022355",0,NA,NA,NA,NA,NA
"ENSG00000027644",0.214902967836337,-1.46626199380948,3.16074699792792,-0.463897298572366,0.6427213283716,NA
"ENSG00000029559",0,NA,NA,NA,NA,NA
"ENSG00000030304",0.208039619274555,-0.31211106716518,3.16074699792792,-0.0987459823167719,0.921339958638655,NA
"ENSG00000034971",0,NA,NA,NA,NA,NA
"ENSG00000036473",0,NA,NA,NA,NA,NA
"ENSG00000037965",0,NA,NA,NA,NA,NA
"ENSG00000038295",0,NA,NA,NA,NA,NA
