"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000001617",0.0637645199861009,0.0511699419697132,3.2580256924171,0.0157058129065123,0.987469089541112,NA
"ENSG00000001626",0,NA,NA,NA,NA,NA
"ENSG00000002079",0,NA,NA,NA,NA,NA
"ENSG00000003137",0,NA,NA,NA,NA,NA
"ENSG00000003989",0.18329477885687,-0.525899906923496,3.2580256924171,-0.16141674638954,0.871765177912185,NA
"ENSG00000004776",0.0774884335613073,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000004848",0.321056412203004,-1.14861544488974,3.25555013555147,-0.352817618241093,0.724225174667397,NA
"ENSG00000004939",227.066571354116,-1.23565727333885,0.72796102817939,-1.69742228705456,NA,NA
"ENSG00000005073",0,NA,NA,NA,NA,NA
"ENSG00000005421",0.0774884335613072,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000006016",0.426960646708077,-1.5904562459301,3.23973799968341,-0.49092125538717,0.623482142939554,NA
"ENSG00000006047",0.82780512756677,-0.725278064322273,2.82027789915893,-0.257165460374869,0.797051046142885,NA
"ENSG00000006059",0,NA,NA,NA,NA,NA
"ENSG00000006071",0,NA,NA,NA,NA,NA
"ENSG00000006116",0,NA,NA,NA,NA,NA
"ENSG00000006128",0,NA,NA,NA,NA,NA
"ENSG00000006283",0.305491298094784,-1.11793557614556,3.25616146077939,-0.343329281920181,0.731350754308084,NA
"ENSG00000006377",0,NA,NA,NA,NA,NA
"ENSG00000006606",0,NA,NA,NA,NA,NA
"ENSG00000006611",0,NA,NA,NA,NA,NA
"ENSG00000006659",0.678292428870368,-1.35113170261962,2.25330445366007,-0.599622345939519,0.548757951260199,NA
"ENSG00000006788",0,NA,NA,NA,NA,NA
"ENSG00000007001",0,NA,NA,NA,NA,NA
"ENSG00000007216",0,NA,NA,NA,NA,NA
"ENSG00000007306",0.307744244173185,2.44220201032646,3.21081349859756,0.7606178345124,0.446885364215851,NA
"ENSG00000007372",0,NA,NA,NA,NA,NA
"ENSG00000007384",0.694214453594654,2.01883639864227,1.93389789457476,1.04392088346845,0.296521995325615,NA
"ENSG00000007908",0.195130987019786,0.860524143234204,3.25420258594187,0.26443471803251,0.791444962190625,NA
"ENSG00000007952",0.384897172585392,-1.41826566294882,3.24554962367956,-0.436987822525079,0.662120179449001,NA
"ENSG00000008118",0.0789559425423985,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000008196",0,NA,NA,NA,NA,NA
"ENSG00000008197",0,NA,NA,NA,NA,NA
"ENSG00000008323",0.843673272890072,-1.82646958720965,2.76749767562553,-0.659971498186288,0.509272119915427,NA
"ENSG00000009709",0,NA,NA,NA,NA,NA
"ENSG00000009724",0.401870864878981,-0.547483887470878,3.20663382608435,-0.170734769594636,0.864432322038353,NA
"ENSG00000010282",0.683031500005871,1.78726467270574,1.95309274777266,0.915094623511335,0.360141957260606,NA
"ENSG00000010932",0.880287996850976,-2.58432991058549,3.06389917717635,-0.843477464871141,0.398961463873153,NA
"ENSG00000011332",0,NA,NA,NA,NA,NA
"ENSG00000011347",0.359508207726421,1.38311928589794,3.20981074273376,0.43090368771087,0.66653840196367,NA
"ENSG00000011677",0,NA,NA,NA,NA,NA
"ENSG00000012504",0,NA,NA,NA,NA,NA
"ENSG00000013297",0.730800656611795,3.69235399728653,1.94534601661428,1.89804485461809,0.0576901735361242,NA
"ENSG00000015413",0.142895492104462,0.627894616923627,3.2580256924171,0.192722426463677,0.847176358923518,NA
"ENSG00000015592",0.727820185495457,-0.00142734935985286,2.83230914710786,-0.000503952529797235,0.999597904074117,NA
"ENSG00000016082",0,NA,NA,NA,NA,NA
"ENSG00000016402",0,NA,NA,NA,NA,NA
"ENSG00000016490",0,NA,NA,NA,NA,NA
"ENSG00000016602",0.14276444668537,0.629478344539779,3.2580256924171,0.193208526871,0.846795661078698,NA
"ENSG00000018236",0,NA,NA,NA,NA,NA
"ENSG00000019186",0.743064790045578,-1.66136440793421,2.22359372689887,-0.747152857932926,0.454971296653523,NA
"ENSG00000019549",0.170611419608949,-0.525899906923496,3.2580256924171,-0.16141674638954,0.871765177912185,NA
"ENSG00000020219",0.0673133191184058,0.0511699419697129,3.2580256924171,0.0157058129065122,0.987469089541112,NA
"ENSG00000021852",0.0815031037898732,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000022355",0,NA,NA,NA,NA,NA
"ENSG00000027644",0.470514575354833,-0.0276247922293759,3.25445139720565,-0.00848830996618822,0.993227389860114,NA
"ENSG00000029559",0,NA,NA,NA,NA,NA
"ENSG00000030304",1.4242373925404,-2.66284669811475,2.55773849888207,-1.041094192889,NA,NA
"ENSG00000034971",0,NA,NA,NA,NA,NA
"ENSG00000036473",0,NA,NA,NA,NA,NA
"ENSG00000037965",0,NA,NA,NA,NA,NA
"ENSG00000038295",0,NA,NA,NA,NA,NA
"ENSG00000039139",0.199048601494234,0.339753563513524,3.2580256924171,0.104282039366443,0.916945530704459,NA
"ENSG00000039537",0,NA,NA,NA,NA,NA
"ENSG00000040731",0.0597592492623381,0.0511699419697132,3.2580256924171,0.0157058129065123,0.987469089541112,NA
"ENSG00000041982",0.0753266193146094,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000042813",0.0753266193146093,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000043355",0,NA,NA,NA,NA,NA
"ENSG00000044012",0,NA,NA,NA,NA,NA
"ENSG00000044524",0.316899186620741,0.231642889541236,2.9967069826832,0.0772991456554843,0.938385570543553,NA
"ENSG00000046774",0,NA,NA,NA,NA,NA
"ENSG00000047662",0.0774884335613072,0.916776757171508,3.2580256924171,0.281390278568171,0.778411073601378,NA
"ENSG00000047936",0,NA,NA,NA,NA,NA
