"","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"CFH",9.0646182878286,8.63708572431193,8.07828934813888,8.05376116001005,7.43906566535027,6.37132663657128,7.03063731575917,7.89533123904735,8.03559557612837,7.00461763592549
"BAD",7.86966437169009,8.84708239137311,8.05349448126443,8.6059000859821,7.60099834346975,7.28638515633489,7.25624449538364,6.80098470435146,6.7214816497161,6.6646261139848
"HECW1",5.18275552654156,3.68181246735313,4.43423900412415,4.9975179149118,5.12542395006411,5.96733454313285,6.62017296151496,6.61513697375807,6.47552226598311,6.45650486627602
"MAD1L1",9.55002970749939,10.2670982080386,10.4850209343137,10.059724203518,9.1034337416283,8.84415663518749,9.00231894007815,8.66883789873319,8.98197097191045,8.85724954318409
"ARF5",10.9972850957977,11.9313054886123,11.1355070239556,11.6385120586626,11.0818674760275,10.6794727291064,10.27620231186,10.1901597561991,9.85840075053719,10.1015574292186
"POLDIP2",9.70862663529726,10.2789720758262,10.0005132136128,10.3276943649801,9.54428936432144,9.09590936244373,8.72998023175106,9.02064751879368,8.6873220791916,8.81440214399413
"VPS50",10.4675785120621,10.9683194977699,9.89327267159222,10.5192877823465,9.91459480183829,8.28707392080243,8.92157772630314,9.48803727952732,9.56854672032327,9.85031014692823
"NDUFAB1",8.23370576354526,8.51125301233172,8.45229391011256,8.50265491484938,8.28231867509723,7.49461715934805,7.16052115785583,7.38459537864037,7.73686572840887,7.20403159350488
"PDK4",9.7813191634713,10.3471260809584,8.16709796186293,10.5185414413646,8.8104587183022,9.10122658052846,7.83079056131275,9.01151515633288,8.38268220045017,8.70282481889497
"SLC22A16",7.77717696331642,6.87276525481207,6.09916046819594,7.31450402552272,5.85764599884648,6.74131570112204,5.78680373817496,5.60995454624033,5.84220918202085,6.00439458334848
"ZMYND10",4.24836047846058,4.74137647379584,3.80831022304142,4.99943370923935,4.4675231852905,5.59693491847899,4.92238898671347,5.36949935129221,4.79380935038072,5.33768335803618
"MEOX1",5.70246186380589,6.49481322493067,6.48047658406814,5.88197865970316,6.25617450366748,4.75564252262918,5.46362471976652,5.46698648165999,5.00727838805249,4.63984387819752
"REXO5",5.19010744918102,7.28960824188007,6.4588859222479,6.23232394157052,5.75902335625609,5.91397903467595,4.47412840175157,5.11016656901337,5.89533278066599,4.9200166656117
"PRKAR2B",11.3696284514925,9.93882443447604,12.3405202384915,11.3529345944666,11.2883721243443,8.71726817818584,9.13393025308042,10.3900655164591,9.60194553641145,9.98358659976578
"CREBBP",11.0931250252975,9.76086722670158,11.1288911911184,10.8234792620488,11.7197905320004,12.7684520518717,12.6455989105683,12.5954954205776,12.1592535529124,12.6358380045617
"TSPOAP1",9.14237621641202,9.29832861179843,8.61185985502961,8.20659934505805,8.93125639073328,9.81843549520834,9.67789592507109,9.88460217059692,10.5618091698025,9.89811439223209
"MPO",9.90164395468343,7.93462966921092,10.1357388098512,9.01422933437295,9.00536027078205,8.24626935727379,7.06743271267751,7.72050720114616,7.80659444514546,6.57815744920242
"GCFC2",7.99609079168269,9.15631281007365,8.34951426013899,8.58701790084748,7.82222809505706,6.84976920961646,7.01972415348428,7.5585318303875,8.12028782459993,7.18520454341325
"WDR54",7.06660841386844,8.16825551058275,7.1909002257924,7.64521259618835,7.16580427647714,6.36357724928783,6.59682532542255,6.266343352656,6.62651251894995,6.49328776925708
"ITGA2B",11.2375498690871,10.8126146031391,13.2846171989354,12.3739386498492,11.7115886795176,9.36662246793584,8.9634320340943,10.3482022433242,9.72976474597417,9.49509678143961
"REX1BD",8.5894937110645,9.34028927859841,9.21365617321926,9.08731370097991,8.86412789386431,7.94630790519039,8.00747188295704,7.77925056601773,7.87879076487351,7.58951054643035
"ALDH3B1",10.3533652383967,10.7638084894211,9.671354321637,10.8164499898054,10.1410395107917,10.035920701478,9.39212845793312,9.222692762181,8.963850282527,9.11625422357217
"DBF4",8.1966289303044,8.94515367243316,8.50583245453691,8.21270518765231,8.14406856934392,6.5895928470932,6.95419745317611,7.55585292735433,7.58509621924404,7.42424835770649
"GTF2IRD1",5.94002210210211,4.66771359058833,5.25306254595276,5.18675307995746,6.00154683994685,6.92957236908504,6.80333627347401,6.41533777150563,6.72033887727974,7.1148266694941
"PRSS21",5.42327769143922,4.73723764254983,5.74099953017167,5.22014500443998,6.22205330080772,3.0627542887002,4.28020605590706,4.1213966489256,4.00858999201737,4.93584568473506
"CCDC124",7.69131178045151,8.54497641238854,7.79096514298369,8.3667600912995,7.80113248516894,7.2320631201994,7.05776895275335,7.33931355969282,7.01668772397545,7.11341170437849
"TRAPPC6A",8.410676116219,9.38100218948734,8.97238476071529,8.57932169232758,7.70204322218962,7.4200373775895,6.77643133814329,6.84463034133858,7.20639960552731,6.70581018937646
"CD79B",10.5997863275274,10.3922979959371,11.5043408987771,10.6396950583782,9.91064844560223,8.3691842726987,8.96031823098168,9.47491985204304,9.37111481129794,8.52955980804692
"RPUSD1",8.40198793855037,9.02207085932394,8.68375283653683,8.75323838681276,8.3537052279287,7.95731338166599,7.49919613346957,7.37995634443865,7.63090130774474,7.61059272521316
"CACNA2D2",6.78429746710661,7.55737994372711,6.40734376230744,7.0015110389439,7.53212410090282,8.26514952645698,8.51146512819455,8.95792205170468,8.83791514538999,8.2290001768097
"TSR3",7.97666636357946,8.75518857314928,8.8165905706124,8.70140853552861,8.00292334226973,7.3861292020934,7.33645866697101,7.36358482066447,7.12356910456737,7.32637306667839
"CRAMP1",8.61565603890656,7.33196673445561,8.28140617125472,8.30706433501223,9.05486874564025,9.5537989717621,9.37570759930381,9.76614612354661,9.58315590186406,9.46197683872683
"E2F2",8.20324722220927,9.54074405330192,9.30809677095323,9.39493187526054,8.51226627111696,8.1141944832261,7.58342059906349,7.9157227410526,7.84222573264036,7.74735227759879
"SPAG9",11.1415597318326,10.2912013796673,10.8054615257063,10.7835951725367,11.1485957774386,11.9661617781343,12.1711681230411,11.712452347462,11.3877528821844,12.3069670805949
"SS18L2",8.45728836849307,9.13003894557678,8.69083496246646,8.95147478451622,8.45360270657554,7.25452280752804,7.43579198812039,7.72898075340987,7.39598105157487,7.22534320968251
"MPND",7.89053576397314,8.76716678425593,8.0099525551635,8.44850426826658,7.50178138736255,7.3299667432536,7.06199761678632,6.86278339096922,7.19270606509815,6.60063061785753
"MGST1",8.64324067958148,8.47585660377663,7.77843476453322,9.11840992983337,8.46009012171313,7.89809704939252,6.44608402854065,7.23903780070418,7.24223688531294,7.50043494047991
"PGLYRP1",6.62358553430015,6.83140638182588,9.33744197384541,7.00329726434771,7.70606576229593,6.7474630203411,7.36515021796643,6.39427854441802,5.69362766571454,6.08225946203342
"IL32",12.4691471502171,13.6720142274583,13.2302839082802,12.6214652570921,12.228685810315,11.6588329590647,11.6393519540876,11.9588708740938,11.6632300243455,11.3178216281669
"RPS20",13.5726076132923,14.5551989418809,14.3330632533675,13.7569620914896,13.7942348534317,12.6522770586065,12.8388765566028,13.1748979095501,13.0244387866324,12.8364636216677
"VTA1",10.1784017938936,10.8920807273195,9.78235596788327,10.3963611057761,9.56950187492897,9.11410589255292,8.96029318996845,9.13386794172632,9.22389160997237,9.18626044300435
"MLXIPL",6.53640654324086,5.78496096207471,5.37347772390246,6.38246891996717,6.56342995415607,7.54543493183834,7.22823637740729,7.02142572096242,7.07895917179973,7.3044149385837
"UQCRC1",11.2737734613597,11.8705588522107,10.6964486158597,11.4946427270844,10.7608413114461,10.2409147838316,9.69363307306241,9.63103973656419,9.67725098218802,9.6908492423885
"CD9",9.58560494696816,9.00977677603829,10.6084121803877,9.64550680228088,9.59262919145615,8.26056443716976,8.38900852126705,8.42332839770486,8.83632425516433,8.28116022998044
"GIPR",5.53057600531109,5.67378529956523,5.28286110063904,4.53747540197247,5.90373304758615,6.14814229698801,6.64441421096407,5.95071417350948,6.83182883729152,5.99511792943525
"STAB1",11.8410487516957,12.08854856087,9.720227830287,12.8911364510428,11.6648503466346,11.4776919455587,10.5487495755745,10.6924013313897,10.5331416894507,10.5031109924559
