"","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"ENSG00000000003",6,26,26,5,23,1,5,4,2,4
"ENSG00000000005",0,0,0,0,0,0,0,0,0,0
"ENSG00000000419",351,689,316,495,361,124,155,223,171,247
"ENSG00000000457",524,734,747,611,648,623,530,520,576,644
"ENSG00000000460",275,406,269,317,225,189,127,166,186,156
"ENSG00000000938",9600,13924,6243,13227,10835,11055,8228,6184,4773,6869
"ENSG00000000971",573,556,315,231,202,61,96,198,183,93
"ENSG00000001036",657,888,412,637,944,524,332,352,433,366
"ENSG00000001084",841,496,472,523,668,442,451,555,662,547
"ENSG00000001167",1333,943,1067,906,1440,1421,1847,1616,1189,1514
"ENSG00000001460",50,78,74,76,77,53,44,47,58,39
"ENSG00000001461",910,828,1465,785,1051,977,1021,1132,1287,984
"ENSG00000001497",611,565,512,475,429,405,357,439,465,332
"ENSG00000001561",1079,1611,845,963,677,275,483,542,749,581
"ENSG00000001617",0,0,0,0,1,0,0,0,0,0
"ENSG00000001626",0,0,0,0,0,0,0,0,0,0
"ENSG00000001629",1863,2757,1895,1927,1637,1069,1133,1398,1437,1446
"ENSG00000001630",503,462,412,481,552,296,310,330,323,387
"ENSG00000001631",698,867,635,674,628,384,464,606,750,730
"ENSG00000002016",122,242,227,134,207,191,186,185,184,185
"ENSG00000002079",0,0,0,0,0,0,0,0,0,0
"ENSG00000002330",243,638,302,390,214,115,98,75,91,74
"ENSG00000002549",1297,1704,1004,3221,1301,1675,648,772,690,1167
"ENSG00000002586",2223,3758,2437,2322,4104,1964,1446,2385,2424,1720
"ENSG00000002587",28,4,58,63,45,15,28,23,24,11
"ENSG00000002726",18,0,0,0,12,4,6,32,1,2
"ENSG00000002745",33,33,52,26,19,12,9,18,23,13
"ENSG00000002746",23,2,9,18,22,43,73,74,68,62
"ENSG00000002822",690,1599,1287,1052,765,440,390,358,441,429
"ENSG00000002834",6147,6043,7742,7559,7538,7957,6155,5939,4058,6068
"ENSG00000002919",985,2334,1051,1782,1095,1212,622,559,472,512
"ENSG00000002933",1367,111,22,100,1214,456,202,480,46,29
"ENSG00000003056",4736,7903,4620,4134,4571,3046,2284,3006,2993,2584
"ENSG00000003096",27,11,14,29,14,6,6,19,10,4
"ENSG00000003137",0,0,0,0,0,0,0,0,0,0
"ENSG00000003147",70,87,146,88,73,78,60,40,43,47
"ENSG00000003249",31,7,80,18,35,10,22,14,34,10
"ENSG00000003393",545,644,540,399,431,495,450,522,525,449
"ENSG00000003400",1414,2560,1943,2567,1771,1912,1298,1415,1487,1437
"ENSG00000003402",8443,9114,9681,10528,13331,24273,19704,15666,12563,20980
"ENSG00000003436",563,407,607,444,546,668,682,659,820,812
"ENSG00000003509",279,376,199,204,289,277,261,255,313,250
"ENSG00000003756",3742,4053,3509,3337,4787,6214,5049,4642,4494,4927
"ENSG00000003987",0,0,0,0,3,0,0,0,1,7
"ENSG00000003989",0,0,0,0,0,0,0,0,0,0
"ENSG00000004059",2079,4735,2416,3264,2288,1512,1128,1057,876,966
"ENSG00000004139",756,508,1001,593,780,696,772,734,926,609
"ENSG00000004142",873,1574,1110,1314,798,486,361,455,367,374
"ENSG00000004399",2250,1902,951,1877,3290,2001,1063,1291,1338,937
"ENSG00000004455",2748,3659,2370,2384,2614,1647,1263,1463,1558,1375
"ENSG00000004468",320,721,1074,650,679,719,525,541,657,703
"ENSG00000004478",793,1276,1027,809,824,369,384,501,372,404
"ENSG00000004487",971,634,887,659,1023,533,570,773,758,633
"ENSG00000004534",1228,1427,1113,988,1887,1744,1759,2078,2020,1893
"ENSG00000004660",160,123,173,159,265,349,317,255,147,180
"ENSG00000004700",2029,2826,1452,2085,1707,756,929,1153,1356,1207
"ENSG00000004766",1551,2766,1186,1806,957,264,439,610,622,605
"ENSG00000004776",0,0,0,0,0,0,0,1,0,0
"ENSG00000004777",16,25,32,18,67,51,77,38,50,41
"ENSG00000004779",294,444,372,366,334,150,109,139,178,114
"ENSG00000004799",961,1136,335,1533,529,494,197,493,247,383
"ENSG00000004809",198,141,57,140,47,78,37,32,40,42
"ENSG00000004838",10,26,1,7,15,27,19,22,20,20
"ENSG00000004846",18,13,4,15,7,19,18,9,28,15
"ENSG00000004848",0,0,2,3,0,0,0,0,0,0
"ENSG00000004864",278,251,154,278,264,242,174,209,251,244
"ENSG00000004866",212,228,315,195,154,98,107,157,151,92
"ENSG00000004897",1828,2682,2112,2209,1690,767,834,972,962,1029
"ENSG00000004939",68,70,1704,189,233,61,39,108,51,185
"ENSG00000004948",1,0,0,6,2,0,0,1,1,0
"ENSG00000004961",369,721,396,420,398,268,186,160,195,186
"ENSG00000004975",353,673,574,473,403,299,279,251,250,177
"ENSG00000005001",2,7,0,8,15,0,2,2,0,0
"ENSG00000005007",1560,2240,2242,2557,2649,2945,2328,1816,1397,1779
"ENSG00000005020",1397,821,807,920,2268,1984,1765,2242,1325,1991
"ENSG00000005022",2351,4206,2447,2598,3125,1531,875,1379,1228,1018
"ENSG00000005059",1382,2001,1799,1033,1695,500,669,747,827,795
"ENSG00000005073",0,0,0,0,0,0,0,0,0,0
"ENSG00000005075",112,243,131,179,177,152,111,121,95,90
"ENSG00000005100",417,397,390,327,464,393,305,367,421,333
"ENSG00000005102",33,105,89,40,73,13,26,29,18,7
"ENSG00000005108",52,57,91,4,14,18,14,16,27,27
"ENSG00000005156",1207,1243,1171,809,928,1047,1038,1022,1022,974
"ENSG00000005175",798,1257,723,919,709,466,408,459,437,666
"ENSG00000005187",159,152,193,121,140,177,90,151,131,131
"ENSG00000005189",49,88,86,38,36,27,16,25,38,13
"ENSG00000005194",614,1464,650,783,522,360,271,347,317,228
"ENSG00000005206",304,292,558,353,448,426,290,353,424,253
"ENSG00000005238",843,862,916,1309,1283,1278,1186,846,559,920
"ENSG00000005243",28,25,10,21,17,10,10,15,12,8
"ENSG00000005249",2869,1066,5746,2738,2776,379,475,1226,723,879
"ENSG00000005302",1933,2495,2344,2166,2713,2074,1870,1721,1919,1707
"ENSG00000005339",2291,1587,2117,1755,4972,5836,5453,5010,3582,5117
