"","SRR8207876","SRR8207877","SRR8207878","SRR8207879","SRR8207880","SRR8207881","SRR8207882","SRR8207883","SRR8207884","SRR8207885","SRR8207886","SRR8207887","SRR8207888","SRR8207889","SRR8207890"
"WWC3",8.9075490459085,9.44473439810808,9.28512939339561,8.958733794207,9.66111152944001,10.0947406382995,9.73527589376268,10.6030236363067,10.0150220293456,10.8293447340415,11.4302924705691,11.127694994983,10.7580809834256,10.1228539684562,10.9380009824995
"PLXNA2",6.4777072423923,5.68558140046396,5.51583038685867,7.29154637412734,6.70969857324613,7.69505263491329,8.18697565208153,8.3522910100144,7.5228033062795,8.364547176035,8.16664677365987,7.72283528767998,8.00584964600864,7.39058702746271,8.02792513864682
"TNRC6C",8.26518118202606,8.86329482461315,9.27337974700418,9.14062822638781,8.17171683614098,10.1894065926043,10.0722333413771,9.64179736849139,8.641461942719,10.2716909772187,10.6406898048074,11.2708258796804,11.1014783592609,11.1078144779147,11.125936447071
"AK1",4.3696943220774,3.24053827812802,4.54733709600092,3.94320779990811,4.14812140573145,5.24217379095828,5.47066461478277,6.57970789426575,4.01211438359104,5.97985180552986,6.64981052144327,6.7548923581363,5.74502995009636,7.58314768378398,7.1368460553578
"PARD3B",4.00202933566908,3.24053827812802,4.24509184806842,4.54161333588751,4.50622755183845,6.36535854052824,7.02603664202461,5.23501121757071,4.52413948972513,4.3980025745824,4.34138524805669,4.29326124815489,5.36686434563999,4.71258742919594,4.5757460793164
"UBN1",9.25351958519443,8.82977112493698,9.42476050632444,9.18845131955346,9.52630085686876,10.6061722983254,9.37220154707173,10.5962521746763,10.5120600906326,11.3135383901081,12.421945219002,12.2262711413737,11.8432129356174,10.9876259657988,11.873255951621
"CEACAM8",7.10493998630448,5.71537024646593,5.40581162151969,5.85285620769239,5.87554176648433,8.13305246088104,6.97788373538611,9.28359418408946,5.97803678065024,8.26923678121322,8.37195518536009,8.04134590283886,7.29397288805303,7.94749144351671,7.05819128433846
"HTN1",5.51178746116776,4.49385930039617,4.9843538395604,4.73639503339893,4.50039775807676,5.72629472508336,5.639468133631,5.49779248267168,5.8453943607923,6.06953622673116,6.2354158887881,6.33418865180715,6.43060570783047,6.83918803061306,6.72902295010119
"GCM1",3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,3.24053827812802,4.02973903848895,4.24652010674988,4.56117128811085,4.43413244003062,4.63385912648004,5.99052201120189,5.65439675593696,5.12363380426687,4.33222366815821,4.99995637927728
"GAREM1",3.24053827812802,7.3549600773086,5.79002916183922,3.90369110878379,4.43216494767657,3.24053827812802,3.24053827812802,3.70836681235647,3.71814797719356,3.81672525748931,3.60745521455194,3.61260629513718,4.1306715415663,5.0387881379071,3.89126060574845
