"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000000005",0,NA,NA,NA,NA,NA
"ENSG00000001617",0.0637645199861009,-0.579549544758558,3.76200852533472,-0.154053224721758,0.877567769175275,NA
"ENSG00000001626",0,NA,NA,NA,NA,NA
"ENSG00000002079",0,NA,NA,NA,NA,NA
"ENSG00000003137",0,NA,NA,NA,NA,NA
"ENSG00000003987",2.43362054798731,2.19018756904155,2.02691049916047,1.08055465199313,0.279895263738321,NA
"ENSG00000003989",0.18329477885687,1.69318168005237,3.74428942301798,0.452203739818709,0.651122214254514,NA
"ENSG00000004776",0.0774884335613073,-0.0024919467338061,3.76200852533472,-0.000662397949665567,0.999471482941504,NA
"ENSG00000004848",0.321056412203004,-2.49959924707211,3.7043200820189,-0.674779498457864,0.499815867576727,NA
"ENSG00000004948",1.66686776672291,0.613922072353634,1.48065152714605,0.414629682337861,0.678413015701235,NA
"ENSG00000005001",3.43601588851608,-0.321269190070263,1.36020525699874,-0.236191698581681,0.813283920884394,NA
"ENSG00000005073",0,NA,NA,NA,NA,NA
"ENSG00000005421",0.0774884335613072,-0.0024919467338061,3.76200852533472,-0.000662397949665567,0.999471482941504,NA
"ENSG00000005981",1.56590641676509,0.0844017652744301,2.18919877455429,0.0385537239721934,0.969246197758597,NA
"ENSG00000006016",0.426960646708077,-2.92331637124433,3.69049809598366,-0.792119734305174,0.428290864339173,NA
"ENSG00000006042",6.10305253327539,-0.773143232740067,0.923396054502969,-0.83728236542685,0.402433869243088,NA
"ENSG00000006047",0.82780512756677,3.60999156660337,3.25892118427723,1.10772595054458,0.267980188472338,NA
"ENSG00000006059",0,NA,NA,NA,NA,NA
"ENSG00000006071",0,NA,NA,NA,NA,NA
"ENSG00000006116",0,NA,NA,NA,NA,NA
"ENSG00000006118",1.72111389100078,-0.641701516379861,1.72899908286432,-0.371140460824765,0.710532916316205,NA
"ENSG00000006128",0,NA,NA,NA,NA,NA
"ENSG00000006210",5.2091891438898,-0.308339501616864,0.926004956490612,-0.332978241051122,0.739150707963184,NA
"ENSG00000006283",0.305491298094784,2.42965229612375,3.70676388878903,0.655464542392933,0.512168708241724,NA
"ENSG00000006377",0,NA,NA,NA,NA,NA
"ENSG00000006606",0,NA,NA,NA,NA,NA
"ENSG00000006611",0,NA,NA,NA,NA,NA
"ENSG00000006659",0.678292428870368,-0.272349198571526,2.64742198106041,-0.102873361526763,0.918063479929328,NA
"ENSG00000006740",5.67870941586537,1.24298685945922,1.30832534335614,0.950059452544643,0.34208204455527,NA
"ENSG00000006788",0,NA,NA,NA,NA,NA
"ENSG00000007001",0,NA,NA,NA,NA,NA
"ENSG00000007062",3.86022267694974,1.95034396549767,1.05552320501532,1.84775091275172,0.0646383850183289,NA
"ENSG00000007171",1.41006499239189,0.936547425012671,2.04235663617291,0.458562137691892,0.646548631178632,NA
"ENSG00000007174",5.04746215117174,-0.447574871879582,0.824038076752758,-0.543148289510257,0.587027706754905,NA
"ENSG00000007216",0,NA,NA,NA,NA,NA
"ENSG00000007306",0.307744244173185,-0.002502741373975,3.76200852532862,-0.000665267331832105,0.999469193506279,NA
"ENSG00000007314",4.3221688032191,-0.265873542287741,1.06735093689263,-0.249096649562868,0.803286021054097,NA
"ENSG00000007372",0,NA,NA,NA,NA,NA
"ENSG00000007384",0.694214453594654,0.826778933368288,2.48292084506664,0.332986424038055,0.739144530996858,NA
"ENSG00000007866",1.53026158850358,0.871879555893554,1.555807862452,0.560403104352131,0.575204514653671,NA
"ENSG00000007908",0.195130987019786,0.729850921467389,3.76200852533422,0.194005653244113,0.846171455356886,NA
"ENSG00000007933",2.85025138477966,-1.34849427602421,1.19520486911071,-1.12825366669361,0.259212805027202,NA
"ENSG00000007952",0.384897172585392,-2.76187180413662,3.6952988492752,-0.747401473274168,0.454821256349301,NA
"ENSG00000008056",1.63645500046619,-3.02475550900816,2.34912614761209,-1.28760880384515,0.197882173163023,NA
"ENSG00000008118",0.0789559425423985,-0.0024919467338061,3.76200852533472,-0.000662397949665567,0.999471482941504,NA
"ENSG00000008196",0,NA,NA,NA,NA,NA
"ENSG00000008197",0,NA,NA,NA,NA,NA
"ENSG00000008323",0.843673272890072,3.02464670629019,3.22686128878997,0.937333971186716,0.348586793756052,NA
"ENSG00000009709",0,NA,NA,NA,NA,NA
"ENSG00000009724",0.401870864878981,-0.756582045766259,3.73373975612973,-0.202633845737151,0.83942123368593,NA
"ENSG00000010282",0.683031500005871,-2.17579817621829,2.41442366191314,-0.901166688572888,0.36749969944593,NA
"ENSG00000010379",4.30869310813586,4.47191704507086,1.40366687900016,3.18588200090339,0.00144313444547762,NA
"ENSG00000010438",5.82113272486139,-0.472636565574049,1.37170361353799,-0.344561726680147,0.730423883285194,NA
"ENSG00000010932",0.880287996850976,3.4406822234673,3.61294043603178,0.95232187864307,0.340933765304327,NA
"ENSG00000011083",2.48292456304705,1.05568551796018,1.39881809488867,0.754698214026325,0.450430078373937,NA
"ENSG00000011332",0,NA,NA,NA,NA,NA
"ENSG00000011347",0.359508207726421,-0.857138598636727,3.76200852533177,-0.227840684800451,0.819770096501078,NA
"ENSG00000011465",4.54837760473718,0.97496938277909,1.20154129476633,0.811432272054117,0.417117472461711,NA
"ENSG00000011677",0,NA,NA,NA,NA,NA
"ENSG00000012504",0,NA,NA,NA,NA,NA
"ENSG00000013297",0.730800656611795,-0.00248741408938263,2.53107834047184,-0.000982748755583336,0.999215880066988,NA
"ENSG00000013588",2.06296581958947,0.296093354428828,1.61437169939816,0.18341089263347,0.854475629752858,NA
"ENSG00000015413",0.142895492104462,-0.579785100136531,3.76200852533472,-0.154115838981238,0.877518399781888,NA
"ENSG00000015520",1.52228188132919,0.675990284940078,1.88021046101712,0.359529052175571,0.719199348179865,NA
"ENSG00000015592",0.727820185495457,3.08125465458739,3.38003208610604,0.911605149327781,0.361976610726694,NA
"ENSG00000016082",0,NA,NA,NA,NA,NA
"ENSG00000016402",0,NA,NA,NA,NA,NA
"ENSG00000016490",0,NA,NA,NA,NA,NA
"ENSG00000016602",0.14276444668537,-0.57872930663069,3.76200852533472,-0.153835192752307,0.877739684307305,NA
"ENSG00000018236",0,NA,NA,NA,NA,NA
"ENSG00000018607",3.25153290004596,-4.26722755809607,1.50543261840805,-2.83455234456693,0.00458899393954986,NA
"ENSG00000018625",5.88186890508577,-0.973650693392551,1.04937798366301,-0.927836021481869,0.353492635681759,NA
"ENSG00000019102",2.46236679197186,1.65072115576298,1.40129443739444,1.1779973656588,0.238797656451211,NA
"ENSG00000019186",0.743064790045578,0.889642385153366,2.59261581354816,0.343144703702101,0.731489601799866,NA
"ENSG00000019505",1.39595748944421,-1.01702699414752,1.86772855957732,-0.544526124490853,0.586079476052742,NA
"ENSG00000019549",0.170611419608949,1.60041361306848,3.75048606847503,0.426721652566814,0.669582077686004,NA
"ENSG00000020219",0.0673133191184058,0.574581985868917,3.76200852533472,0.152732770805668,0.878609016581885,NA
"ENSG00000021461",5.85186822312913,1.42480632094258,1.08547469333687,1.3126112747618,0.189313968450218,NA
"ENSG00000021488",2.6150871785642,-1.75572019540782,1.3678054706156,-1.28360372372077,0.199280646177351,NA
"ENSG00000021852",0.0815031037898732,-0.0024919467338061,3.76200852533472,-0.000662397949665567,0.999471482941504,NA
"ENSG00000022355",0,NA,NA,NA,NA,NA
"ENSG00000025423",2.63034751500788,0.767284572363504,1.15066321996758,0.666819412534211,0.504887491337337,NA
"ENSG00000027644",0.470514575354833,-2.508208060407,3.70397907679697,-0.677165828532697,0.498300746052334,NA
"ENSG00000029559",0,NA,NA,NA,NA,NA
"ENSG00000030304",1.4242373925404,-3.9263889588409,2.86414852318216,-1.37087477379789,NA,NA
