Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,,1.0,0.0946199893951416
ExtraTreesClassifier,1.0,1.0,,1.0,0.10939598083496094
BaggingClassifier,1.0,1.0,,1.0,0.02963113784790039
LabelSpreading,1.0,1.0,,1.0,0.011344194412231445
QuadraticDiscriminantAnalysis,1.0,1.0,,1.0,0.011336088180541992
LabelPropagation,1.0,1.0,,1.0,0.010523080825805664
ExtraTreeClassifier,1.0,1.0,,1.0,0.01007533073425293
DecisionTreeClassifier,1.0,1.0,,1.0,0.011417150497436523
XGBClassifier,1.0,1.0,,1.0,0.10041284561157227
RandomForestClassifier,1.0,1.0,,1.0,0.15076613426208496
GaussianNB,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.013752222061157227
SGDClassifier,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.012944936752319336
LinearDiscriminantAnalysis,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.010512113571166992
LinearSVC,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.01215219497680664
NuSVC,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.010530948638916016
SVC,0.8333333333333334,0.8333333333333334,,0.8222222222222223,0.011482954025268555
RidgeClassifierCV,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.01380777359008789
RidgeClassifier,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.012752056121826172
LogisticRegression,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.014162063598632812
Perceptron,0.8333333333333334,0.8333333333333334,,0.8222222222222223,0.01258707046508789
PassiveAggressiveClassifier,0.8333333333333334,0.8333333333333334,,0.8222222222222223,0.015607118606567383
KNeighborsClassifier,0.8333333333333334,0.8333333333333334,,0.8222222222222223,0.01194000244140625
BernoulliNB,0.8333333333333334,0.8333333333333334,,0.8333333333333334,0.011617660522460938
NearestCentroid,0.75,0.75,,0.746031746031746,0.01205587387084961
DummyClassifier,0.4166666666666667,0.4166666666666667,,0.42195767195767203,0.010987043380737305
LGBMClassifier,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.04043388366699219
