Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,1.0,1.0,,1.0,0.1332988739013672
NearestCentroid,1.0,1.0,,1.0,0.009830713272094727
XGBClassifier,1.0,1.0,,1.0,0.10150909423828125
SVC,1.0,1.0,,1.0,0.010620832443237305
SGDClassifier,1.0,1.0,,1.0,0.011860847473144531
RidgeClassifierCV,1.0,1.0,,1.0,0.012284040451049805
RidgeClassifier,1.0,1.0,,1.0,0.012993097305297852
RandomForestClassifier,1.0,1.0,,1.0,0.1500999927520752
QuadraticDiscriminantAnalysis,1.0,1.0,,1.0,0.011286020278930664
Perceptron,1.0,1.0,,1.0,0.013401031494140625
PassiveAggressiveClassifier,1.0,1.0,,1.0,0.011496305465698242
NuSVC,1.0,1.0,,1.0,0.011452198028564453
LogisticRegression,1.0,1.0,,1.0,0.014935016632080078
LinearSVC,1.0,1.0,,1.0,0.00996088981628418
LinearDiscriminantAnalysis,1.0,1.0,,1.0,0.011931180953979492
LabelSpreading,1.0,1.0,,1.0,0.011068105697631836
LabelPropagation,1.0,1.0,,1.0,0.010085105895996094
GaussianNB,1.0,1.0,,1.0,0.010637044906616211
ExtraTreesClassifier,1.0,1.0,,1.0,0.134749174118042
ExtraTreeClassifier,1.0,1.0,,1.0,0.015508890151977539
DecisionTreeClassifier,1.0,1.0,,1.0,0.011027097702026367
BaggingClassifier,0.9166666666666666,0.9166666666666666,,0.9153439153439153,0.02997589111328125
KNeighborsClassifier,0.8333333333333334,0.8333333333333334,,0.832010582010582,0.011509895324707031
BernoulliNB,0.8333333333333334,0.8333333333333334,,0.8380952380952381,0.011952877044677734
DummyClassifier,0.5,0.5,,0.5052910052910053,0.017323970794677734
LGBMClassifier,0.3333333333333333,0.3333333333333333,,0.16666666666666666,0.038496971130371094
