"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000000419","20",50934867,50959140,-1,"protein_coding","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"2","ENSG00000000460","1",169662007,169854080,1,"protein_coding","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"3","ENSG00000000971","1",196652043,196747504,1,"protein_coding","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"4","ENSG00000001629","7",92245974,92401383,1,"protein_coding","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"5","ENSG00000002330","11",64269830,64284704,-1,"protein_coding","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"6","ENSG00000002746","7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"7","ENSG00000002822","7",1815793,2233243,-1,"protein_coding","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"8","ENSG00000003096","X",117897813,118117340,-1,"protein_coding","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
"9","ENSG00000004059","7",127588386,127591700,1,"protein_coding","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"10","ENSG00000004142","17",28346633,28357527,-1,"protein_coding","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"11","ENSG00000004534","3",49940007,50100045,1,"protein_coding","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"12","ENSG00000004766","7",93232340,93361123,1,"protein_coding","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"13","ENSG00000004779","16",23581014,23596316,-1,"protein_coding","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"14","ENSG00000004799","7",95583499,95596516,-1,"protein_coding","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"15","ENSG00000004809","6",110424687,110476641,-1,"protein_coding","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
"16","ENSG00000004838","3",50341110,50345732,-1,"protein_coding","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
"17","ENSG00000005102","17",43640389,43661922,-1,"protein_coding","MEOX1","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]"
"18","ENSG00000005189","16",20806429,20849665,1,"protein_coding","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"19","ENSG00000005249","7",107044705,107161811,1,"protein_coding","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"20","ENSG00000005339","16",3725054,3880713,-1,"protein_coding","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"21","ENSG00000005379","17",58301228,58328795,-1,"protein_coding","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"22","ENSG00000005381","17",58269855,58280935,-1,"protein_coding","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
"23","ENSG00000005436","2",75652000,75710985,-1,"protein_coding","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"24","ENSG00000005448","2",74421678,74425755,1,"protein_coding","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"25","ENSG00000005513","16",981770,986979,1,"protein_coding","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"26","ENSG00000005893","X",120426148,120469365,-1,"protein_coding","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"27","ENSG00000005961","17",44372180,44389649,-1,"protein_coding","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
"28","ENSG00000006015","19",18588685,18592337,1,"protein_coding","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"29","ENSG00000006534","11",68008578,68029282,1,"protein_coding","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"30","ENSG00000006634","7",87876216,87909553,1,"protein_coding","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]"
"31","ENSG00000006704","7",74453790,74602605,1,"protein_coding","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"32","ENSG00000006757","X",7898247,7927739,-1,"protein_coding","PNPLA4","patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]"
"33","ENSG00000007038","16",2817180,2826304,1,"protein_coding","PRSS21","serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"34","ENSG00000007080","19",17933015,17943991,1,"protein_coding","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]"
"35","ENSG00000007174","17",11598470,11969748,1,"protein_coding","DNAH9","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]"
"36","ENSG00000007255","19",45162928,45178237,-1,"protein_coding","TRAPPC6A","trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]"
"37","ENSG00000007312","17",63928740,63932336,-1,"protein_coding","CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]"
"38","ENSG00000007376","16",784974,788397,-1,"protein_coding","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]"
"39","ENSG00000007392","16",188969,229463,-1,"protein_coding","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]"
"40","ENSG00000007402","3",50362613,50504244,-1,"protein_coding","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"41","ENSG00000007520","16",1349240,1351878,-1,"protein_coding","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]"
"42","ENSG00000007545","16",1612337,1677908,1,"protein_coding","CRAMP1","cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]"
"43","ENSG00000007968","1",23506438,23531233,-1,"protein_coding","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"44","ENSG00000008294","17",50962174,51120868,-1,"protein_coding","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]"
"45","ENSG00000008324","3",42581840,42596934,1,"protein_coding","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]"
"46","ENSG00000008382","19",4343527,4360086,1,"protein_coding","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]"
"47","ENSG00000008394","12",16347142,16609259,1,"protein_coding","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]"
"48","ENSG00000008516","16",3046062,3060726,1,"protein_coding","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]"
"49","ENSG00000008517","16",3065297,3082192,1,"protein_coding","IL32","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"50","ENSG00000008988","8",56067254,56074510,-1,"protein_coding","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]"
"51","ENSG00000009765","6",150368892,150405969,1,"protein_coding","IYD","iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]"
"52","ENSG00000009844","6",142147162,142224685,1,"protein_coding","VTA1","vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]"
"53","ENSG00000009950","7",73593194,73624543,-1,"protein_coding","MLXIPL","MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]"
"54","ENSG00000010256","3",48599002,48610976,-1,"protein_coding","UQCRC1","ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]"
"55","ENSG00000010278","12",6199715,6238271,1,"protein_coding","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]"
"56","ENSG00000010327","3",52495338,52524495,1,"protein_coding","STAB1","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]"
"57","ENSG00000010404","X",149476988,149521096,-1,"protein_coding","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]"
"58","ENSG00000010818","6",142751469,142956698,-1,"protein_coding","HIVEP2","HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]"
"59","ENSG00000011028","17",62627670,62693597,1,"protein_coding","MRC2","mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"60","ENSG00000011052","17",51153590,51171744,1,"protein_coding","NME1-NME2","NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531]"
"61","ENSG00000011105","12",3077355,3286564,1,"protein_coding","TSPAN9","tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]"
"62","ENSG00000011198","3",43690108,43734371,1,"protein_coding","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]"
"63","ENSG00000011426","7",36389821,36453791,1,"protein_coding","ANLN","anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]"
"64","ENSG00000011600","19",35904401,35908295,-1,"protein_coding","TYROBP","transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]"
"65","ENSG00000011638","16",21158377,21180616,1,"protein_coding","TMEM159","transmembrane protein 159 [Source:HGNC Symbol;Acc:HGNC:30136]"
"66","ENSG00000012171","3",50267558,50277546,1,"protein_coding","SEMA3B","semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]"
"67","ENSG00000013275","19",39971165,39981764,1,"protein_coding","PSMC4","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"
"68","ENSG00000013293","3",170459548,170586075,-1,"protein_coding","SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]"
"69","ENSG00000013306","17",44319625,44324870,-1,"protein_coding","SLC25A39","solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]"
"70","ENSG00000013374","7",151341772,151378449,1,"protein_coding","NUB1","negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]"
"71","ENSG00000013563","X",154401236,154412112,-1,"protein_coding","DNASE1L1","deoxyribonuclease 1 like 1 [Source:HGNC Symbol;Acc:HGNC:2957]"
"72","ENSG00000014123","6",96521595,96555276,1,"protein_coding","UFL1","UFM1 specific ligase 1 [Source:HGNC Symbol;Acc:HGNC:23039]"
"73","ENSG00000014216","11",65180566,65212006,1,"protein_coding","CAPN1","calpain 1 [Source:HGNC Symbol;Acc:HGNC:1476]"
"74","ENSG00000015133","14",91271323,91417844,-1,"protein_coding","CCDC88C","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]"
"75","ENSG00000016391","3",53812335,53846419,-1,"protein_coding","CHDH","choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]"
"76","ENSG00000017483","X",48458537,48470260,-1,"protein_coding","SLC38A5","solute carrier family 38 member 5 [Source:HGNC Symbol;Acc:HGNC:18070]"
"77","ENSG00000017797","18",9475009,9538114,1,"protein_coding","RALBP1","ralA binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9841]"
"78","ENSG00000019144","11",118606440,118658031,1,"protein_coding","PHLDB1","pleckstrin homology like domain family B member 1 [Source:HGNC Symbol;Acc:HGNC:23697]"
"79","ENSG00000020426","14",60734742,60969965,1,"protein_coding","MNAT1","MNAT1 component of CDK activating kinase [Source:HGNC Symbol;Acc:HGNC:7181]"
"80","ENSG00000021300","11",73646178,73662819,1,"protein_coding","PLEKHB1","pleckstrin homology domain containing B1 [Source:HGNC Symbol;Acc:HGNC:19079]"
"81","ENSG00000021826","2",210477682,210679107,1,"protein_coding","CPS1","carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]"
"82","ENSG00000023191","11",494512,507300,-1,"protein_coding","RNH1","ribonuclease/angiogenin inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:10074]"
"83","ENSG00000024526","1",68474152,68497221,-1,"protein_coding","DEPDC1","DEP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22949]"
"84","ENSG00000025708","22",50525752,50530032,-1,"protein_coding","TYMP","thymidine phosphorylase [Source:HGNC Symbol;Acc:HGNC:3148]"
"85","ENSG00000026652","6",161129967,161274061,-1,"protein_coding","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
"86","ENSG00000027075","14",61187559,61550976,1,"protein_coding","PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]"
"87","ENSG00000028116","2",57907629,58159920,1,"protein_coding","VRK2","VRK serine/threonine kinase 2 [Source:HGNC Symbol;Acc:HGNC:12719]"
"88","ENSG00000028839","6",133952170,133990432,1,"protein_coding","TBPL1","TATA-box binding protein like 1 [Source:HGNC Symbol;Acc:HGNC:11589]"
"89","ENSG00000030110","6",33572547,33580293,-1,"protein_coding","BAK1","BCL2 antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]"
