"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000002746",42.5183848116553,2.38245399186912,0.478820870728556,4.97566864252193,6.50227955760585e-07,1.39258535493646e-05,"7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"2","ENSG00000004838",16.1286535313103,1.28637241013388,0.516552359859483,2.4903040041939,0.0127633870649935,0.0408887056989866,"3",50341110,50345732,-1,"protein_coding","ZMYND10","zinc finger MYND-type containing 10 [Source:HGNC Symbol;Acc:HGNC:19412]"
"3","ENSG00000005339",4082.23857359789,1.54990172231613,0.305530073860006,5.07282868339271,3.91945335489637e-07,9.22804820566695e-06,"16",3725054,3880713,-1,"protein_coding","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"4","ENSG00000005379",733.658819702286,1.14302628863428,0.266634709838477,4.28686231183743,1.81214534593082e-05,0.000216737863042188,"17",58301228,58328795,-1,"protein_coding","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"5","ENSG00000006704",63.3216733713538,1.68274534721995,0.385976267078874,4.35971195834195,1.30233755276758e-05,0.00016601962009181,"7",74453790,74602605,1,"protein_coding","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"6","ENSG00000007402",246.07658575973,1.57899649229176,0.296387481167316,5.32747363712164,9.95882279009559e-08,3.04546435679405e-06,"3",50362613,50504244,-1,"protein_coding","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"7","ENSG00000007545",530.65681486036,1.17414340691935,0.293408030614197,4.00174257146775,6.28776881964809e-05,0.000587914661128586,"16",1612337,1677908,1,"protein_coding","CRAMP1","cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]"
"8","ENSG00000008294",2888.34451678513,1.08561221301183,0.242189225209118,4.48249591646555,7.37750549316876e-06,0.000105413529638599,"17",50962174,51120868,-1,"protein_coding","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]"
"9","ENSG00000009950",96.7856580972888,1.23335880243588,0.322541593006127,3.82387521231239,0.000131370422634152,0.00106706473114987,"7",73593194,73624543,-1,"protein_coding","MLXIPL","MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]"
"10","ENSG00000010310",47.6054942420051,1.20768127550995,0.422692150282547,2.85711782133328,0.00427507115949678,0.0172631186271051,"19",45668221,45683722,1,"protein_coding","GIPR","gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]"
"11","ENSG00000010379",4.32650318268183,5.70565507332534,1.21724767192263,4.6873411261599,2.76777411392626e-06,4.7358843785571e-05,"12",220621,262873,-1,"protein_coding","SLC6A13","solute carrier family 6 member 13 [Source:HGNC Symbol;Acc:HGNC:11046]"
"12","ENSG00000010404",4739.74521535714,1.2260867963547,0.315264306078029,3.88907584118083,0.000100626671160388,0.000856480759462364,"X",149476988,149521096,-1,"protein_coding","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]"
"13","ENSG00000011198",1791.27893918811,1.08568115261403,0.301488114205717,3.60107447510593,0.000316904773688718,0.00215682630261399,"3",43690108,43734371,1,"protein_coding","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]"
"14","ENSG00000013293",67.6622636684308,1.38098546280881,0.310330867838922,4.45004221599257,8.58534115140178e-06,0.000119713265118425,"3",170459548,170586075,-1,"protein_coding","SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]"
"15","ENSG00000016391",130.29809999983,1.1599081175221,0.214511380936493,5.40721015574226,6.40140167369449e-08,2.13054415544033e-06,"3",53812335,53846419,-1,"protein_coding","CHDH","choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]"
"16","ENSG00000021461",5.78613714122396,2.63541013284903,1.05251799342475,2.50390981371613,0.0122829339137842,0.0396646711215096,"7",99828013,99866102,1,"protein_coding","CYP3A43","cytochrome P450 family 3 subfamily A member 43 [Source:HGNC Symbol;Acc:HGNC:17450]"
"17","ENSG00000021826",155.331871702725,1.10453139587879,0.376890399137309,2.93064349319333,0.00338260730582321,0.0143316944167308,"2",210477682,210679107,1,"protein_coding","CPS1","carbamoyl-phosphate synthase 1 [Source:HGNC Symbol;Acc:HGNC:2323]"
"18","ENSG00000026652",813.125169568782,1.28293488081592,0.231755421176054,5.53572759724715,3.09938961820892e-08,1.18531059485202e-06,"6",161129967,161274061,-1,"protein_coding","AGPAT4","1-acylglycerol-3-phosphate O-acyltransferase 4 [Source:HGNC Symbol;Acc:HGNC:20885]"
"19","ENSG00000027075",4665.09928214805,1.2496407329757,0.259403285859516,4.81736662986013,1.4546525802132e-06,2.76706751715842e-05,"14",61187559,61550976,1,"protein_coding","PRKCH","protein kinase C eta [Source:HGNC Symbol;Acc:HGNC:9403]"
