"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000047644",1265.8230527764,-1.05522957663302,0.269379753935928,-3.91725644267984,8.95624590401383e-05,0.0269436761236102,"X",10015254,10144474,1,"protein_coding","WWC3","WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]"
"2","ENSG00000076356",179.824473563043,-1.8154198159668,0.36489393804948,-4.9751986170859,6.51807728585745e-07,0.00191231076028078,"1",208022242,208244384,-1,"protein_coding","PLXNA2","plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]"
"3","ENSG00000078687",1156.55308100756,-1.09363311051629,0.298161860352074,-3.66791751709932,0.000244534037826183,0.0415040953292257,"17",77959240,78108835,1,"protein_coding","TNRC6C","trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]"
"4","ENSG00000106992",46.6592680526502,-3.01874729660739,0.673256932618571,-4.48379682458858,7.33264836815648e-06,0.00717098093032522,"9",127866486,127877675,-1,"protein_coding","AK1","adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]"
"5","ENSG00000116117",19.3794967228682,-3.041019791447,0.791216006706829,-3.84347607438356,0.000121303830262828,0.0303806922208257,"2",204545475,205620162,1,"protein_coding","PARD3B","par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]"
"6","ENSG00000118900",2020.09661071215,-1.36565431969716,0.309080909835525,-4.41843632602183,9.9417559986747e-06,0.0085072434560326,"16",4846665,4882401,1,"protein_coding","UBN1","ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]"
"7","ENSG00000124469",174.10043718468,-2.321106372528,0.524271262069671,-4.42730040812258,9.54197972755473e-06,0.0085072434560326,"19",42580243,42595055,-1,"protein_coding","CEACAM8","CEA cell adhesion molecule 8 [Source:HGNC Symbol;Acc:HGNC:1820]"
"8","ENSG00000126550",42.0258323171333,-1.39660562345703,0.380577097013289,-3.66970486247697,0.000242830666702248,0.0415040953292257,"4",70050438,70058848,1,"protein_coding","HTN1","histatin 1 [Source:HGNC Symbol;Acc:HGNC:5283]"
"9","ENSG00000137270",10.1298575646913,-5.25712113747843,1.13611172148042,-4.62729240274722,3.70477282050081e-06,0.00503364829895432,"6",53126961,53148841,-1,"protein_coding","GCM1","glial cells missing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:4197]"
"10","ENSG00000144668",55.0602241333818,-1.85401834868696,0.472713918913741,-3.92207268393396,8.7790498708722e-05,0.0269436761236102,"3",37452115,37823507,1,"protein_coding","ITGA9","integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]"
"11","ENSG00000147465",17.6257061180845,-2.54791188302456,0.613410048742961,-4.15368461642568,3.27164023819326e-05,0.0142956756535691,"8",38142700,38150992,-1,"protein_coding","STAR","steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]"
"12","ENSG00000152133",259.865870681548,-1.04358119440562,0.275148877869995,-3.79278739017319,0.000148965692836306,0.0328957896105293,"2",37084451,37099244,1,"protein_coding","GPATCH11","G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768]"
"13","ENSG00000154997",54.8448625220937,-1.95601679028806,0.448932677462426,-4.35703812283027,1.31834312520002e-05,0.00905477336047654,"7",55793540,55862755,-1,"protein_coding","SEPTIN14","septin 14 [Source:HGNC Symbol;Acc:HGNC:33280]"
"14","ENSG00000158470",1664.9582959259,-1.07025482192505,0.279626360889969,-3.82744609098633,0.000129479730155446,0.0311136733784813,"20",49632945,49713878,-1,"protein_coding","B4GALT5","beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]"
"15","ENSG00000169155",509.28056870739,-1.60003001761234,0.307402935698414,-5.20499263930938,1.94004295939174e-07,0.000796853245140563,"9",126805006,126838210,1,"protein_coding","ZBTB43","zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]"
"16","ENSG00000170004",3317.33503776622,-1.05150997001513,0.285359360110684,-3.68486237706475,0.000228826249287742,0.0408643885358467,"17",7884796,7912760,1,"protein_coding","CHD3","chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]"
"17","ENSG00000170485",28.904723796134,-2.95314943713706,0.728234582249923,-4.05521724608729,5.00877288203412e-05,0.0187468258920002,"2",100820139,100996829,1,"protein_coding","NPAS2","neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]"
"18","ENSG00000175161",6.50418202566664,-5.54749928837052,1.44562510474372,-3.83743978308537,0.000124323707101976,0.0307618791897985,"3",84958989,86074429,1,"protein_coding","CADM2","cell adhesion molecule 2 [Source:HGNC Symbol;Acc:HGNC:29849]"
"19","ENSG00000178074",241.60820742815,-1.06503034311051,0.2552822084452,-4.17197245980084,3.01974142498565e-05,0.0137814288099845,"2",199911293,199955935,1,"protein_coding","C2orf69","chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]"
"20","ENSG00000182463",391.008760952715,-1.44120671723493,0.309400774098088,-4.65805789088954,3.19206458042138e-06,0.00468253073486528,"20",52972358,53495330,1,"protein_coding","TSHZ2","teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]"
"21","ENSG00000196391",11.092575227213,-3.68913704285518,0.772024897462186,-4.77852081582107,1.76589483942956e-06,0.00329692566521499,"15",90352284,90369146,1,"protein_coding","ZNF774","zinc finger protein 774 [Source:HGNC Symbol;Acc:HGNC:33108]"
"22","ENSG00000197321",1713.61628078496,-1.19603098103793,0.250259931902951,-4.77915490483608,1.76033534045713e-06,0.00329692566521499,"10",29457338,29736959,-1,"protein_coding","SVIL","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"23","ENSG00000197705",186.054059014543,-1.81094763301618,0.480132151635301,-3.7717691407422,0.000162094193195702,0.0346763379756263,"18",32672673,32773023,-1,"protein_coding","KLHL14","kelch like family member 14 [Source:HGNC Symbol;Acc:HGNC:29266]"
"24","ENSG00000198722",92.0340597462111,-1.77109402239241,0.484239641715749,-3.65747425410505,0.000254712835011144,0.0425287601026331,"9",35161992,35405338,1,"protein_coding","UNC13B","unc-13 homolog B [Source:HGNC Symbol;Acc:HGNC:12566]"
"25","ENSG00000205086",28.2211551415869,-2.51191867357276,0.503127823562301,-4.99260536972016,5.95701949458913e-07,0.00191231076028078,"2",41935368,41956806,-1,"lncRNA","C2orf91","chromosome 2 putative open reading frame 91 [Source:HGNC Symbol;Acc:HGNC:42966]"
"26","ENSG00000223768",213.807966750849,-1.54955764136572,0.344115080378621,-4.50302160446087,6.69940704048761e-06,0.00717098093032522,"21",45288050,45297806,1,"lncRNA","LINC00205","long intergenic non-protein coding RNA 205 [Source:HGNC Symbol;Acc:HGNC:16420]"
"27","ENSG00000223820",9.49859993872468,-3.19780572744005,0.862313982463833,-3.70840064346768,0.000208572468683993,0.0389404799033015,"10",87817928,87845612,1,"transcribed_unprocessed_pseudogene","CFL1P1","cofilin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28560]"
"28","ENSG00000226620",279.549122332857,-1.27870270525153,0.346489523173438,-3.69045128274043,0.000223856559708044,0.0406815345462688,"13",105702699,105797539,1,"lncRNA","LINC00343","long intergenic non-protein coding RNA 343 [Source:HGNC Symbol;Acc:HGNC:42500]"
"29","ENSG00000228549",18.4895659286367,-2.56195488825196,0.654529656535061,-3.91419221829366,9.0707356982653e-05,0.0269436761236102,"1",16870945,16883659,1,"lncRNA","","novel transcript"
"30","ENSG00000229622",19.5433470058616,-2.67388198717465,0.636164107463453,-4.2031324241729,2.63246477191777e-05,0.0128721259573512,"13",95692538,95693972,1,"processed_pseudogene","MTND5P2","MT-ND5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:41919]"
