"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000000419",349.366458715997,1.23697119257473,0.199824379789004,6.19029166451492,6.0052991597222e-10,6.37973028239074e-09,"20",50934867,50959140,-1,"protein_coding","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"2","ENSG00000000460",263.320233919631,1.20466972417126,0.229590470249147,5.24703713905883,1.54564749869651e-07,1.11669775796013e-06,"1",169662007,169854080,1,"protein_coding","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"3","ENSG00000000971",279.217200321107,1.42886684912748,0.374612537815336,3.81425260740161,0.000136595694215755,0.000554138210051094,"1",196652043,196747504,1,"protein_coding","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"4","ENSG00000001629",1965.30903170719,1.36456838090216,0.193835800160518,7.03981606995272,1.92493759470043e-12,2.97297160180926e-11,"7",92245974,92401383,1,"protein_coding","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"5","ENSG00000002330",261.808088817922,1.89814243352579,0.22219456676379,8.54270408665602,1.31116850847549e-17,3.92907090814865e-16,"11",64269830,64284704,-1,"protein_coding","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"6","ENSG00000002746",38.4320781522664,-3.7172972655018,0.46709553148898,-7.95832332981652,1.74386166883386e-15,4.06595115417579e-14,"7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"7","ENSG00000002822",859.521758292447,1.4583955874542,0.196522952232417,7.42099368489756,1.16244860138717e-13,2.12795343146494e-12,"7",1815793,2233243,-1,"protein_coding","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"8","ENSG00000003096",24.5149535494072,2.20197456949453,0.771632305797872,2.8536578276329,0.00432190539431641,0.0120012792917813,"X",117897813,118117340,-1,"protein_coding","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
"9","ENSG00000003756",4215.76105091746,-1.05872747296409,0.117651950770789,-8.99880933573908,2.28178795483762e-19,8.49438709237872e-18,"3",50088919,50119021,1,"protein_coding","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"10","ENSG00000004059",2460.36231933494,1.62028010046462,0.178962750516815,9.05372819642925,1.38168464851029e-19,5.27660602836259e-18,"7",127588386,127591700,1,"protein_coding","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"11","ENSG00000004142",838.449345594461,1.42436578176802,0.175185611944988,8.1306093916851,4.27137644075845e-16,1.08126843614628e-14,"17",28346633,28357527,-1,"protein_coding","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"12","ENSG00000004534",1584.5974086861,-1.160383880643,0.173936760348973,-6.67129753546577,2.53551575510677e-11,3.31174490273897e-10,"3",49940007,50100045,1,"protein_coding","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"13","ENSG00000004766",1191.12097486986,1.42518564746157,0.265660623069213,5.3646853304649,8.10904611611095e-08,6.11977415577027e-07,"7",93232340,93361123,1,"protein_coding","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"14","ENSG00000004779",251.70708163227,1.18794786716336,0.230060617876892,5.16362982124584,2.42206461811054e-07,1.69506260003628e-06,"16",23581014,23596316,-1,"protein_coding","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"15","ENSG00000004799",787.795093635537,1.65313010123029,0.250798866324044,6.59145763081067,4.35529122926265e-11,5.50469048377561e-10,"7",95583499,95596516,-1,"protein_coding","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
