"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000175061",3295.10430803888,-1.14761949555693,0.223737158386661,-5.12932006391906,2.90790570212485e-07,7.31004565887039e-06,"17",16438767,16478678,1,"lncRNA","SNHG29","small nucleolar RNA host gene 29 [Source:HGNC Symbol;Acc:HGNC:28619]"
"2","ENSG00000175147",3.46518862088452,-3.74350122466485,1.52487208926584,-2.45496081344579,0.0140899946780512,0.0441020628595806,"1",15111815,15153618,-1,"lncRNA","TMEM51-AS1","TMEM51 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:26301]"
"3","ENSG00000175746",73.3719452073673,-1.66964095822796,0.607983561614205,-2.7461942454415,0.00602910550236209,0.0226942651021539,"15",39250684,39254845,1,"lncRNA","C15orf54","chromosome 15 putative open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:33797]"
"4","ENSG00000176236",12.2009149055821,-1.48501980697348,0.538483225683515,-2.75778285403133,0.00581948415044275,0.02209046604606,"10",15095385,15097319,-1,"lncRNA","RPP38-DT","RPP38 divergent transcript [Source:HGNC Symbol;Acc:HGNC:28582]"
"5","ENSG00000179743",101.274543220677,-1.17285483905957,0.2859517439103,-4.10158309587887,4.10333096364265e-05,0.000416226089017069,"1",15834474,15848147,-1,"lncRNA","FLJ37453","uncharacterized LOC729614 [Source:NCBI gene (formerly Entrezgene);Acc:729614]"
"6","ENSG00000180066",6.05423542184028,-2.37898521494842,0.846046541898391,-2.81188456796995,0.00492521750463387,0.01931704647424,"10",132444327,132449408,1,"lncRNA","LINC02870","long intergenic non-protein coding RNA 2870 [Source:HGNC Symbol;Acc:HGNC:27275]"
"7","ENSG00000182165",69.370454638454,-1.17788794736566,0.370847507473429,-3.1762056468724,0.00149215132790753,0.00744638023172161,"7",87322943,87345528,-1,"lncRNA","TP53TG1","TP53 target 1 [Source:HGNC Symbol;Acc:HGNC:17026]"
"8","ENSG00000184068",40.6761432016958,-1.43109561983095,0.404871978266378,-3.53468675693181,0.000408258819611599,0.00262956755781958,"22",41831215,41834665,-1,"lncRNA","SREBF2-AS1","SREBF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53953]"
"9","ENSG00000188242",89.6640924245055,-1.03147875947424,0.397124983319401,-2.59736557204873,0.00939418833094762,0.0321794310118517,"5",466124,473098,-1,"lncRNA","PP7080","uncharacterized LOC25845 [Source:NCBI gene (formerly Entrezgene);Acc:25845]"
"10","ENSG00000203711",7.96655379228736,-1.99893392775903,0.821570685708899,-2.43306384043417,0.0149716609067602,0.0463024547162423,"6",158869848,158919105,1,"lncRNA","C6orf99","chromosome 6 putative open reading frame 99 [Source:HGNC Symbol;Acc:HGNC:21179]"
