"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000167920",40.453089855762,1.68187812493259,0.426373350457549,3.94461361885712,7.99287499058165e-05,0.000342607026688696,"17",40819106,40836270,1,"lncRNA","TMEM99","transmembrane protein 99 (putative) [Source:HGNC Symbol;Acc:HGNC:28305]"
"2","ENSG00000172460",89.9036193335652,2.52696972012652,0.505582391225062,4.9981363354121,5.78870532645199e-07,3.78695022340866e-06,"16",2839568,2842744,-1,"lncRNA","PRSS30P","serine protease 30, pseudogene [Source:HGNC Symbol;Acc:HGNC:28753]"
"3","ENSG00000175061",3830.74934328413,1.39762206569159,0.146618961108776,9.53234189577096,1.53774402011819e-21,7.1207728318365e-20,"17",16438767,16478678,1,"lncRNA","SNHG29","small nucleolar RNA host gene 29 [Source:HGNC Symbol;Acc:HGNC:28619]"
"4","ENSG00000175746",65.7430788196365,1.51177714582317,0.491307763815365,3.07704713250022,0.00209062241534592,0.00636599195782959,"15",39250684,39254845,1,"lncRNA","C15orf54","chromosome 15 putative open reading frame 54 [Source:HGNC Symbol;Acc:HGNC:33797]"
"5","ENSG00000177340",12.1673352177902,1.98670048705144,0.58258340773514,3.41015631525615,0.00064925656099833,0.00224879324880579,"12",31324316,31325829,1,"lncRNA","FLJ13224","uncharacterized LOC79857 [Source:NCBI gene (formerly Entrezgene);Acc:79857]"
"6","ENSG00000179743",113.076838885865,1.39158865454738,0.220035554780141,6.32438087534466,2.54249902981454e-10,2.85266459318153e-09,"1",15834474,15848147,-1,"lncRNA","FLJ37453","uncharacterized LOC729614 [Source:NCBI gene (formerly Entrezgene);Acc:729614]"
"7","ENSG00000180066",5.49193576923903,1.96547921914242,0.846510797526204,2.32185959693158,0.0202404969589793,0.045802180246013,"10",132444327,132449408,1,"lncRNA","LINC02870","long intergenic non-protein coding RNA 2870 [Source:HGNC Symbol;Acc:HGNC:27275]"
"8","ENSG00000181577",4.97682806315501,2.7585984984931,1.19949744700881,2.29979522288457,0.0214598242339243,0.0481148990415612,"6",44000580,44007612,1,"lncRNA","C6orf223","chromosome 6 open reading frame 223 [Source:HGNC Symbol;Acc:HGNC:28692]"
"9","ENSG00000182165",85.8580710601852,1.72598584192933,0.327305360160678,5.27331981695023,1.33977788123644e-07,9.81027440310316e-07,"7",87322943,87345528,-1,"lncRNA","TP53TG1","TP53 target 1 [Source:HGNC Symbol;Acc:HGNC:17026]"
"10","ENSG00000184068",33.9046318202438,1.04978651608168,0.41446668134349,2.53286105575196,0.01131357882768,0.0277540309404463,"22",41831215,41834665,-1,"lncRNA","SREBF2-AS1","SREBF2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:53953]"
