"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000141441",14.62834494319,5.49570018708713,1.25449229620528,4.38081621043915,1.18235570976956e-05,0.00905477336047654,"18",32124877,32470882,-1,"protein_coding","GAREM1","GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]"
"2","ENSG00000151838",37.9010891482183,2.07062581305689,0.544465538749041,3.80304292134694,0.00014292958035388,0.0326149421303071,"14",59504539,59576812,-1,"protein_coding","CCDC175","coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]"
"3","ENSG00000164684",52.5755348947013,6.14380594733916,1.46869109839548,4.18318457438135,2.87453824456887e-05,0.0134828146265945,"8",80628451,80874781,-1,"protein_coding","ZNF704","zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]"
"4","ENSG00000171962",20.6349434134057,5.27595079719991,1.42687524542141,3.69755577029562,0.000217685404018018,0.0402757220028652,"17",17972813,18016889,1,"protein_coding","DRC3","dynein regulatory complex subunit 3 [Source:HGNC Symbol;Acc:HGNC:25384]"
"5","ENSG00000178773",8.05242470521522,3.83017907437922,0.994763906008842,3.85033981555134,0.000117954054870046,0.0303806922208257,"16",89575758,89597246,1,"protein_coding","CPNE7","copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]"
"6","ENSG00000198406",81.1397386623053,21.1507550814402,2.70309462005853,7.82464473292548,5.09092528489504e-15,1.04552332575889e-10,"3",116645902,116646727,-1,"processed_pseudogene","BZW1P2","basic leucine zipper and W2 domains 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33954]"
"7","ENSG00000204564",141.236451602789,1.03970268034248,0.271952287458076,3.82310695034237,0.000131780584968412,0.0311136733784813,"6",30647039,30653210,1,"protein_coding","C6orf136","chromosome 6 open reading frame 136 [Source:HGNC Symbol;Acc:HGNC:21301]"
"8","ENSG00000205111",8.59119830280428,4.2136793909819,0.8525881354208,4.94222147356322,7.7237403009981e-07,0.00198278068201997,"2",39175646,39229588,-1,"protein_coding","CDKL4","cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]"
"9","ENSG00000229807",2172.97601709234,8.15075140369089,1.87336930924844,4.3508513582732,1.35609962382117e-05,0.00905477336047654,"X",73820649,73852723,-1,"lncRNA","XIST","X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]"
"10","ENSG00000240216",6.26467375756916,5.15674880346448,1.42422879556291,3.62073061542498,0.000293772265786176,0.0473568604489447,"3",149229356,149291800,-1,"transcribed_unitary_pseudogene","CPHL1P","ceruloplasmin and hephaestin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:31714]"
"11","ENSG00000250722",28.1636495205126,2.14039612572116,0.538797618297599,3.97254192118372,7.11097166495054e-05,0.0243396708471816,"5",42799880,42887392,-1,"protein_coding","SELENOP","selenoprotein P [Source:HGNC Symbol;Acc:HGNC:10751]"
"12","ENSG00000258733",225.911726285104,1.04267863411588,0.274681718927906,3.7959520501965,0.000147077926377458,0.0328957896105293,"14",85911438,86161500,1,"lncRNA","LINC02328","long intergenic non-protein coding RNA 2328 [Source:HGNC Symbol;Acc:HGNC:53248]"
