"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000198406",81.1397386623053,21.1507550814402,2.70309462005853,7.82464473292548,5.09092528489504e-15,1.04552332575889e-10,"3",116645902,116646727,-1,"processed_pseudogene","BZW1P2","basic leucine zipper and W2 domains 1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33954]"
"2","ENSG00000223820",9.49859993872468,-3.19780572744005,0.862313982463833,-3.70840064346768,0.000208572468683993,0.0389404799033015,"10",87817928,87845612,1,"transcribed_unprocessed_pseudogene","CFL1P1","cofilin 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:28560]"
"3","ENSG00000229622",19.5433470058616,-2.67388198717465,0.636164107463453,-4.2031324241729,2.63246477191777e-05,0.0128721259573512,"13",95692538,95693972,1,"processed_pseudogene","MTND5P2","MT-ND5 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:41919]"
"4","ENSG00000234518",13.1147489819398,-3.36799901388286,0.857465804255793,-3.92785227955066,8.57078251105262e-05,0.0269436761236102,"1",89104285,89104767,-1,"processed_pseudogene","PTGES3P1","prostaglandin E synthase 3 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43824]"
"5","ENSG00000235613",20.1457048515191,-3.18882249875358,0.809988263497816,-3.93687494308018,8.25495981481713e-05,0.0269436761236102,"1",77847110,77848802,1,"processed_pseudogene","NSRP1P1","nuclear speckle splicing regulatory protein 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38087]"
"6","ENSG00000240216",6.26467375756916,5.15674880346448,1.42422879556291,3.62073061542498,0.000293772265786176,0.0473568604489447,"3",149229356,149291800,-1,"transcribed_unitary_pseudogene","CPHL1P","ceruloplasmin and hephaestin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:31714]"
"7","ENSG00000243302",132.641072733926,-1.28311050624939,0.351968858541297,-3.64552282144259,0.000266848731359338,0.0438421791674138,"7",128651185,128652334,1,"processed_pseudogene","","novel pseudogene"
"8","ENSG00000250995",19.0654577714384,-2.60288600404327,0.638633743252706,-4.07571011012695,4.58741393551242e-05,0.0178575789013734,"X",118769796,118770857,1,"processed_pseudogene","TMEM30BP1","TMEM30B pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55058]"
"9","ENSG00000258045",11.6722989457987,-2.62009740575748,0.700660343421656,-3.73946867459675,0.000184409625812468,0.0371296126010848,"12",55731264,55731531,-1,"misc_RNA","Metazoa_SRP","Metazoan signal recognition particle RNA [Source:RFAM;Acc:RF00017]"
"10","ENSG00000266777",84.0685874788848,-1.28390448933695,0.351781638916112,-3.64972001748824,0.000262526297474778,0.0434798594454799,"17",32039974,32042828,1,"transcribed_processed_pseudogene","SH3GL1P1","SH3 domain containing GRB2 like 1, endophilin A2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:10835]"
"11","ENSG00000268903",235.006635236632,-2.89454758231129,0.736121678530988,-3.93215913446223,8.41863039761682e-05,0.0269436761236102,"1",135141,135895,-1,"processed_pseudogene","","novel pseudogene"
"12","ENSG00000279202",147.075536873109,-1.50656322133978,0.283037737482757,-5.32283516233081,1.02162314218993e-07,0.000524526861778865,"16",24098239,24099971,1,"TEC","","novel transcript"
"13","ENSG00000279766",24.808748985803,-2.20985893893919,0.453064366408764,-4.87758275155414,1.0739379828729e-06,0.00245060715047341,"8",140572142,140572812,-1,"TEC","","TEC"
"14","ENSG00000280135",262.379593885058,-1.1062984163736,0.268667235706775,-4.11772731968337,3.8262704281726e-05,0.0159404246117051,"6",107697299,107700218,-1,"TEC","","TEC"
