"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000000419","20",50934867,50959140,-1,"protein_coding","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic [Source:HGNC Symbol;Acc:HGNC:3005]"
"2","ENSG00000000460","1",169662007,169854080,1,"protein_coding","C1orf112","chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]"
"3","ENSG00000000971","1",196652043,196747504,1,"protein_coding","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"4","ENSG00000001629","7",92245974,92401383,1,"protein_coding","ANKIB1","ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]"
"5","ENSG00000002330","11",64269830,64284704,-1,"protein_coding","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"6","ENSG00000002746","7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"7","ENSG00000002822","7",1815793,2233243,-1,"protein_coding","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"8","ENSG00000003096","X",117897813,118117340,-1,"protein_coding","KLHL13","kelch like family member 13 [Source:HGNC Symbol;Acc:HGNC:22931]"
"9","ENSG00000003756","3",50088919,50119021,1,"protein_coding","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"10","ENSG00000004059","7",127588386,127591700,1,"protein_coding","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"11","ENSG00000004142","17",28346633,28357527,-1,"protein_coding","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"12","ENSG00000004534","3",49940007,50100045,1,"protein_coding","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"13","ENSG00000004766","7",93232340,93361123,1,"protein_coding","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"14","ENSG00000004779","16",23581014,23596316,-1,"protein_coding","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"15","ENSG00000004799","7",95583499,95596516,-1,"protein_coding","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"16","ENSG00000004809","6",110424687,110476641,-1,"protein_coding","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
"17","ENSG00000005059","4",109560209,109688719,1,"protein_coding","MCUB","mitochondrial calcium uniporter dominant negative subunit beta [Source:HGNC Symbol;Acc:HGNC:26076]"
"18","ENSG00000005102","17",43640389,43661922,-1,"protein_coding","MEOX1","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]"
"19","ENSG00000005189","16",20806429,20849665,1,"protein_coding","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"20","ENSG00000005194","16",57428187,57447420,-1,"protein_coding","CIAPIN1","cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:28050]"
"21","ENSG00000005243","17",48026167,48038030,-1,"protein_coding","COPZ2","COPI coat complex subunit zeta 2 [Source:HGNC Symbol;Acc:HGNC:19356]"
"22","ENSG00000005249","7",107044705,107161811,1,"protein_coding","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"23","ENSG00000005339","16",3725054,3880713,-1,"protein_coding","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"24","ENSG00000005379","17",58301228,58328795,-1,"protein_coding","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"25","ENSG00000005381","17",58269855,58280935,-1,"protein_coding","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
"26","ENSG00000005436","2",75652000,75710985,-1,"protein_coding","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"27","ENSG00000005448","2",74421678,74425755,1,"protein_coding","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"28","ENSG00000005513","16",981770,986979,1,"protein_coding","SOX8","SRY-box transcription factor 8 [Source:HGNC Symbol;Acc:HGNC:11203]"
"29","ENSG00000005893","X",120426148,120469365,-1,"protein_coding","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"30","ENSG00000005961","17",44372180,44389649,-1,"protein_coding","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
"31","ENSG00000006015","19",18588685,18592337,1,"protein_coding","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"32","ENSG00000006042","17",32927910,32945106,1,"protein_coding","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"33","ENSG00000006282","17",50543058,50555852,1,"protein_coding","SPATA20","spermatogenesis associated 20 [Source:HGNC Symbol;Acc:HGNC:26125]"
"34","ENSG00000006534","11",68008578,68029282,1,"protein_coding","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"35","ENSG00000006634","7",87876216,87909553,1,"protein_coding","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]"
"36","ENSG00000006638","19",3594507,3606875,-1,"protein_coding","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]"
"37","ENSG00000006704","7",74453790,74602605,1,"protein_coding","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"38","ENSG00000006757","X",7898247,7927739,-1,"protein_coding","PNPLA4","patatin like phospholipase domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24887]"
"39","ENSG00000007038","16",2817180,2826304,1,"protein_coding","PRSS21","serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"40","ENSG00000007080","19",17933015,17943991,1,"protein_coding","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]"
"41","ENSG00000007168","17",2593210,2685615,1,"protein_coding","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"42","ENSG00000007174","17",11598470,11969748,1,"protein_coding","DNAH9","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]"
"43","ENSG00000007255","19",45162928,45178237,-1,"protein_coding","TRAPPC6A","trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]"
"44","ENSG00000007264","19",3777970,3802129,-1,"protein_coding","MATK","megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]"
"45","ENSG00000007312","17",63928740,63932336,-1,"protein_coding","CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]"
"46","ENSG00000007341","1",112523514,112620825,-1,"protein_coding","ST7L","suppression of tumorigenicity 7 like [Source:HGNC Symbol;Acc:HGNC:18441]"
"47","ENSG00000007350","X",154295795,154330350,1,"protein_coding","TKTL1","transketolase like 1 [Source:HGNC Symbol;Acc:HGNC:11835]"
"48","ENSG00000007376","16",784974,788397,-1,"protein_coding","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]"
"49","ENSG00000007392","16",188969,229463,-1,"protein_coding","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]"
"50","ENSG00000007402","3",50362613,50504244,-1,"protein_coding","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"51","ENSG00000007520","16",1349240,1351878,-1,"protein_coding","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]"
"52","ENSG00000007923","1",6634168,6701924,-1,"protein_coding","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]"
"53","ENSG00000007944","6",16129086,16148248,1,"protein_coding","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]"
"54","ENSG00000008083","6",15246069,15522042,1,"protein_coding","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]"
"55","ENSG00000008256","7",6161776,6272644,-1,"protein_coding","CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]"
"56","ENSG00000008294","17",50962174,51120868,-1,"protein_coding","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]"
"57","ENSG00000008324","3",42581840,42596934,1,"protein_coding","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]"
"58","ENSG00000008382","19",4343527,4360086,1,"protein_coding","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]"
"59","ENSG00000008394","12",16347142,16609259,1,"protein_coding","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]"
"60","ENSG00000008516","16",3046062,3060726,1,"protein_coding","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]"
"61","ENSG00000008517","16",3065297,3082192,1,"protein_coding","IL32","interleukin 32 [Source:HGNC Symbol;Acc:HGNC:16830]"
"62","ENSG00000008988","8",56067254,56074510,-1,"protein_coding","RPS20","ribosomal protein S20 [Source:HGNC Symbol;Acc:HGNC:10405]"
"63","ENSG00000009335","7",157138916,157269370,1,"protein_coding","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]"
"64","ENSG00000009765","6",150368892,150405969,1,"protein_coding","IYD","iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]"
"65","ENSG00000009830","14",77274956,77320883,-1,"protein_coding","POMT2","protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]"
"66","ENSG00000009844","6",142147162,142224685,1,"protein_coding","VTA1","vesicle trafficking 1 [Source:HGNC Symbol;Acc:HGNC:20954]"
"67","ENSG00000009950","7",73593194,73624543,-1,"protein_coding","MLXIPL","MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]"
"68","ENSG00000010256","3",48599002,48610976,-1,"protein_coding","UQCRC1","ubiquinol-cytochrome c reductase core protein 1 [Source:HGNC Symbol;Acc:HGNC:12585]"
"69","ENSG00000010278","12",6199715,6238271,1,"protein_coding","CD9","CD9 molecule [Source:HGNC Symbol;Acc:HGNC:1709]"
"70","ENSG00000010327","3",52495338,52524495,1,"protein_coding","STAB1","stabilin 1 [Source:HGNC Symbol;Acc:HGNC:18628]"
"71","ENSG00000010404","X",149476988,149521096,-1,"protein_coding","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]"
"72","ENSG00000010818","6",142751469,142956698,-1,"protein_coding","HIVEP2","HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]"
"73","ENSG00000011009","1",23791145,23795539,1,"protein_coding","LYPLA2","lysophospholipase 2 [Source:HGNC Symbol;Acc:HGNC:6738]"
"74","ENSG00000011028","17",62627670,62693597,1,"protein_coding","MRC2","mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"75","ENSG00000011052","17",51153590,51171744,1,"protein_coding","NME1-NME2","NME1-NME2 readthrough [Source:HGNC Symbol;Acc:HGNC:33531]"
"76","ENSG00000011105","12",3077355,3286564,1,"protein_coding","TSPAN9","tetraspanin 9 [Source:HGNC Symbol;Acc:HGNC:21640]"
"77","ENSG00000011132","19",3750772,3761692,-1,"protein_coding","APBA3","amyloid beta precursor protein binding family A member 3 [Source:HGNC Symbol;Acc:HGNC:580]"
"78","ENSG00000011198","3",43690108,43734371,1,"protein_coding","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]"
"79","ENSG00000011426","7",36389821,36453791,1,"protein_coding","ANLN","anillin actin binding protein [Source:HGNC Symbol;Acc:HGNC:14082]"
"80","ENSG00000011600","19",35904401,35908295,-1,"protein_coding","TYROBP","transmembrane immune signaling adaptor TYROBP [Source:HGNC Symbol;Acc:HGNC:12449]"
"81","ENSG00000011638","16",21158377,21180616,1,"protein_coding","TMEM159","transmembrane protein 159 [Source:HGNC Symbol;Acc:HGNC:30136]"
"82","ENSG00000012048","17",43044295,43170245,-1,"protein_coding","BRCA1","BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]"
"83","ENSG00000012061","19",45407334,45478828,-1,"protein_coding","ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit [Source:HGNC Symbol;Acc:HGNC:3433]"
"84","ENSG00000012171","3",50267558,50277546,1,"protein_coding","SEMA3B","semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]"
"85","ENSG00000013275","19",39971165,39981764,1,"protein_coding","PSMC4","proteasome 26S subunit, ATPase 4 [Source:HGNC Symbol;Acc:HGNC:9551]"
"86","ENSG00000013293","3",170459548,170586075,-1,"protein_coding","SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]"
"87","ENSG00000013306","17",44319625,44324870,-1,"protein_coding","SLC25A39","solute carrier family 25 member 39 [Source:HGNC Symbol;Acc:HGNC:24279]"
"88","ENSG00000013374","7",151341772,151378449,1,"protein_coding","NUB1","negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]"
