"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000000971",232.212968952271,-1.03674233724613,0.394456144776883,-2.62828289272194,0.00858171157216582,0.0299408522463074,"1",196652043,196747504,1,"protein_coding","CFH","complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]"
"2","ENSG00000002330",200.831257749372,-1.42100928135087,0.304337085861814,-4.66919526855194,3.02381864434701e-06,5.06933102736044e-05,"11",64269830,64284704,-1,"protein_coding","BAD","BCL2 associated agonist of cell death [Source:HGNC Symbol;Acc:HGNC:936]"
"3","ENSG00000002822",721.524422758416,-1.12684747280742,0.267551141678108,-4.21170870637934,2.53446237829877e-05,0.000282823801413319,"7",1815793,2233243,-1,"protein_coding","MAD1L1","mitotic arrest deficient 1 like 1 [Source:HGNC Symbol;Acc:HGNC:6762]"
"4","ENSG00000004059",1946.37199339022,-1.16890302307812,0.248371914027469,-4.70626088161017,2.52301608404839e-06,4.37428353428251e-05,"7",127588386,127591700,1,"protein_coding","ARF5","ADP ribosylation factor 5 [Source:HGNC Symbol;Acc:HGNC:658]"
"5","ENSG00000004142",732.292797083153,-1.15375245807202,0.21592121743489,-5.34339548367882,9.12214362248355e-08,2.85276395902121e-06,"17",28346633,28357527,-1,"protein_coding","POLDIP2","DNA polymerase delta interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:23781]"
"6","ENSG00000004766",983.481544309193,-1.11021170152994,0.319971473648609,-3.46972087502142,0.000520999493946907,0.00319592633074464,"7",93232340,93361123,1,"protein_coding","VPS50","VPS50 subunit of EARP/GARPII complex [Source:HGNC Symbol;Acc:HGNC:25956]"
"7","ENSG00000004779",237.748980607689,-1.06200456264604,0.198582060161796,-5.34793808554894,8.89618851001225e-08,2.7961698955237e-06,"16",23581014,23596316,-1,"protein_coding","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]"
"8","ENSG00000004799",626.366491326741,-1.13322587416971,0.415839771269561,-2.72515029216653,0.00642722230808868,0.0238747349505006,"7",95583499,95596516,-1,"protein_coding","PDK4","pyruvate dehydrogenase kinase 4 [Source:HGNC Symbol;Acc:HGNC:8812]"
"9","ENSG00000004809",79.6990011463075,-1.09054990768373,0.445724125070973,-2.44669257583954,0.0144173754138427,0.0448729078040758,"6",110424687,110476641,-1,"protein_coding","SLC22A16","solute carrier family 22 member 16 [Source:HGNC Symbol;Acc:HGNC:20302]"
"10","ENSG00000005102",38.8022216349093,-1.52721605212706,0.39071654795599,-3.90875702633176,9.27722109512469e-05,0.000800313222994414,"17",43640389,43661922,-1,"protein_coding","MEOX1","mesenchyme homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7013]"
"11","ENSG00000005189",46.5179032366155,-1.33197731249725,0.544313656002024,-2.44707678708743,0.0144020152271537,0.0448307127303738,"16",20806429,20849665,1,"protein_coding","REXO5","RNA exonuclease 5 [Source:HGNC Symbol;Acc:HGNC:24661]"
"12","ENSG00000005249",1787.83660056192,-1.7803817822355,0.400256342007601,-4.44810386590125,8.66316390324287e-06,0.000120432807288329,"7",107044705,107161811,1,"protein_coding","PRKAR2B","protein kinase cAMP-dependent type II regulatory subunit beta [Source:HGNC Symbol;Acc:HGNC:9392]"
"13","ENSG00000005381",416.09993850819,-1.88492094004464,0.419416048417769,-4.49415549823482,6.98465774344196e-06,0.000100960791172938,"17",58269855,58280935,-1,"protein_coding","MPO","myeloperoxidase [Source:HGNC Symbol;Acc:HGNC:7218]"
"14","ENSG00000005436",245.658645951423,-1.11882620692128,0.33963249323784,-3.29422605079714,0.000986930945056654,0.00534926469500731,"2",75652000,75710985,-1,"protein_coding","GCFC2","GC-rich sequence DNA-binding factor 2 [Source:HGNC Symbol;Acc:HGNC:1317]"
"15","ENSG00000005448",119.552906825129,-1.18567522279072,0.291586297148943,-4.06629267007383,4.7766941995375e-05,0.00046939988612214,"2",74421678,74425755,1,"protein_coding","WDR54","WD repeat domain 54 [Source:HGNC Symbol;Acc:HGNC:25770]"
"16","ENSG00000005961",2672.04757243961,-2.52701650877627,0.41827975010767,-6.04145074707965,1.52734633143212e-09,1.10445105763462e-07,"17",44372180,44389649,-1,"protein_coding","ITGA2B","integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]"
"17","ENSG00000006015",362.379261079846,-1.25660459651171,0.208986340647994,-6.01285515893248,1.82283894724532e-09,1.23948798218207e-07,"19",18588685,18592337,1,"protein_coding","REX1BD","required for excision 1-B domain containing [Source:HGNC Symbol;Acc:HGNC:26098]"
"18","ENSG00000006534",1000.20083866722,-1.0283134580443,0.286143273051045,-3.59370131990089,0.000326013536179773,0.00220579711691638,"11",68008578,68029282,1,"protein_coding","ALDH3B1","aldehyde dehydrogenase 3 family member B1 [Source:HGNC Symbol;Acc:HGNC:410]"
"19","ENSG00000006634",233.795959017218,-1.25117653931249,0.281628178009764,-4.44265395655513,8.88560104799108e-06,0.000123003236779039,"7",87876216,87909553,1,"protein_coding","DBF4","DBF4 zinc finger [Source:HGNC Symbol;Acc:HGNC:17364]"
"20","ENSG00000007038",19.0707788582342,-2.37478538461662,0.66966329929549,-3.54623791854053,0.000390773226773418,0.00254396542656212,"16",2817180,2826304,1,"protein_coding","PRSS21","serine protease 21 [Source:HGNC Symbol;Acc:HGNC:9485]"
"21","ENSG00000007080",190.497556331809,-1.00971007973506,0.248427525132309,-4.06440501791135,4.81551435648538e-05,0.000472467710856115,"19",17933015,17943991,1,"protein_coding","CCDC124","coiled-coil domain containing 124 [Source:HGNC Symbol;Acc:HGNC:25171]"
"22","ENSG00000007255",258.461612744397,-1.83100012706554,0.324792155953122,-5.63745180881095,1.7258488002606e-08,7.37251767561496e-07,"19",45162928,45178237,-1,"protein_coding","TRAPPC6A","trafficking protein particle complex 6A [Source:HGNC Symbol;Acc:HGNC:23069]"
"23","ENSG00000007312",1076.47387390127,-1.73315428013576,0.325374194666256,-5.32664946558992,1.00040962587057e-07,3.05555087449559e-06,"17",63928740,63932336,-1,"protein_coding","CD79B","CD79b molecule [Source:HGNC Symbol;Acc:HGNC:1699]"
"24","ENSG00000007376",285.324498121527,-1.10070638974002,0.219015290492867,-5.02570568138423,5.01584649643505e-07,1.13264283010325e-05,"16",784974,788397,-1,"protein_coding","RPUSD1","RNA pseudouridine synthase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:14173]"
"25","ENSG00000007520",243.731619831658,-1.27658831932208,0.245820744481292,-5.19316757426564,2.06745935276885e-07,5.52107136719002e-06,"16",1349240,1351878,-1,"protein_coding","TSR3","TSR3 ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:14175]"
"26","ENSG00000007968",370.165698317192,-1.29124109549256,0.289963475811569,-4.45311635156308,8.46328620775108e-06,0.00011840980399387,"1",23506438,23531233,-1,"protein_coding","E2F2","E2F transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:3114]"
"27","ENSG00000008324",286.250448331671,-1.43162444815568,0.224070317811357,-6.38917489000461,1.66783223711439e-10,1.93553721064755e-08,"3",42581840,42596934,1,"protein_coding","SS18L2","SS18 like 2 [Source:HGNC Symbol;Acc:HGNC:15593]"
"28","ENSG00000008382",195.25378476223,-1.26990293784863,0.294994129104615,-4.30484139363424,1.67105413418788e-05,0.000202464658304966,"19",4343527,4360086,1,"protein_coding","MPND","MPN domain containing [Source:HGNC Symbol;Acc:HGNC:25934]"
"29","ENSG00000008394",252.894487414939,-1.3131111423215,0.328186750172839,-4.00110955615958,6.30461574919175e-05,0.000589046812312684,"12",16347142,16609259,1,"protein_coding","MGST1","microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:7061]"
