"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000161149",18.6797609995108,1.55307172485961,0.462366039971058,3.35896582057979,0.000782347431323443,0.00443370156036585,"22",21008193,21014292,-1,"lncRNA","TUBA3FP","tubulin alpha 3f pseudogene [Source:HGNC Symbol;Acc:HGNC:24067]"
"2","ENSG00000170919",570.653721419776,1.23252495567542,0.195983753464418,6.28891392213891,3.19694663142161e-10,3.14010403459343e-08,"13",45341345,45417975,1,"lncRNA","TPT1-AS1","TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686]"
"3","ENSG00000174171",143.081779162822,1.28602757368435,0.376124478544073,3.41915415519454,0.000628161282666885,0.00371930121687642,"15",41892777,41899528,1,"lncRNA","","novel transcript, antisense to SPTBN5"
"4","ENSG00000174680",43.5012402081244,1.05580825012197,0.379926381384415,2.77898114438568,0.00545296902829979,0.0210214888778892,"21",29748175,29764002,1,"lncRNA","GRIK1-AS1","GRIK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16458]"
"5","ENSG00000175604",1.66328792598256,4.33053452978704,1.76035044361057,2.46004115004788,0.013892108634448,0.0436589059372577,"16",12086746,12090302,-1,"lncRNA","","novel transcript, antisense to SNX29"
"6","ENSG00000177338",8.42657719788516,1.91534521063763,0.701542459206242,2.73019143104288,0.00632975582018063,0.0235725568006787,"17",73749270,73828520,-1,"lncRNA","LINC00469","long intergenic non-protein coding RNA 469 [Source:HGNC Symbol;Acc:HGNC:26863]"
"7","ENSG00000177800",20.6358113018492,1.55126568410041,0.483530022349802,3.2082096506888,0.00133564095864422,0.00680604745107864,"1",229249636,229251810,1,"lncRNA","TMEM78","transmembrane protein 78 [Source:HGNC Symbol;Acc:HGNC:32307]"
"8","ENSG00000177993",140.910697441201,1.00053423635722,0.25511362838743,3.92191606023396,8.78475979099074e-05,0.00076687745057448,"22",29024999,29031476,-1,"lncRNA","ZNRF3-AS1","ZNRF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41927]"
"9","ENSG00000178722",96.55055987335,1.36763364298287,0.269757011014115,5.06987246723055,3.98082359920493e-07,9.32810898430095e-06,"5",61610424,61793401,1,"lncRNA","C5orf64","chromosome 5 putative open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26744]"
"10","ENSG00000179818",2707.23575525838,1.28417192948045,0.357127910796037,3.59583188728665,0.000323356580365544,0.00219113962961247,"2",69960104,70103220,-1,"lncRNA","PCBP1-AS1","PCBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42948]"
"11","ENSG00000182912",43.5878750251422,1.15079525705171,0.412813390920719,2.78768877745229,0.00530855151615298,0.0205610231803389,"21",44517216,44525952,1,"lncRNA","TSPEAR-AS2","TSPEAR antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:16428]"
"12","ENSG00000184224",135.699169174805,1.33081127734679,0.267655349684888,4.97210789514783,6.62288266421317e-07,1.41458856355385e-05,"11",67602880,67606706,-1,"lncRNA","C11orf72","chromosome 11 putative open reading frame 72 [Source:HGNC Symbol;Acc:HGNC:26915]"
"13","ENSG00000184809",12.743598876937,1.59636465398077,0.596908876186852,2.67438585296067,0.00748662578808974,0.0268861028952025,"21",39597147,39612910,-1,"lncRNA","B3GALT5-AS1","B3GALT5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16424]"
"14","ENSG00000186019",35.2407641460046,1.57843785277298,0.468713398697947,3.36759703724658,0.0007582633661561,0.00432582464648301,"19",44103007,44113183,-1,"lncRNA","","novel transcript, antisense to ZNF225 and ZNF224"
"15","ENSG00000186960",124.571475593788,1.10730081202487,0.351579255201638,3.14950554005186,0.00163547007638951,0.00800099508838959,"14",28765640,28823817,1,"lncRNA","LINC01551","long intergenic non-protein coding RNA 1551 [Source:HGNC Symbol;Acc:HGNC:19828]"
"16","ENSG00000188185",463.947158071319,1.19730719372876,0.260639861548899,4.593722489774,4.35408323909342e-06,6.81682729788039e-05,"7",39733430,39793092,1,"lncRNA","LINC00265","long intergenic non-protein coding RNA 265 [Source:HGNC Symbol;Acc:HGNC:28019]"
"17","ENSG00000189238",21.7827086829369,1.65407008208474,0.491580825246041,3.3647978056444,0.000765997702730373,0.00436094226821217,"12",126723412,126749027,1,"lncRNA","LINC00943","long intergenic non-protein coding RNA 943 [Source:HGNC Symbol;Acc:HGNC:48639]"
"18","ENSG00000196096",93.554311711548,1.31483765557633,0.265634530468733,4.94979946039469,7.42899893579109e-07,1.56525230120032e-05,"2",213276552,213284205,-1,"lncRNA","SPAG16-DT","SPAG16 divergent transcript [Source:HGNC Symbol;Acc:HGNC:52674]"
"19","ENSG00000196167",250.269217958233,1.24531657719598,0.244805209916877,5.08696925861515,3.63830780234261e-07,8.72281664241486e-06,"11",111290787,111305498,-1,"lncRNA","COLCA1","colorectal cancer associated 1 [Source:HGNC Symbol;Acc:HGNC:33789]"
"20","ENSG00000196566",91.0102111733928,1.04162150694655,0.379830564523966,2.74233198755871,0.00610046496197243,0.0229177636573827,"10",87610163,87660003,-1,"lncRNA","","novel transcript"
"21","ENSG00000196634",35.7447145791364,1.28295960706641,0.328608153463522,3.90422329313515,9.4528475540433e-05,0.000813203670298779,"6",147158925,147180992,1,"lncRNA","LUADT1","lung adenocarcinoma associated transcript 1 [Source:HGNC Symbol;Acc:HGNC:51845]"
"22","ENSG00000196696",740.797492471242,1.12781552371798,0.285018074972289,3.95699649514379,7.5898043956956e-05,0.000682451055644789,"16",69976297,70065948,-1,"lncRNA","PDXDC2P-NPIPB14P","nuclear pore complex-interacting protein [Source:NCBI gene (formerly Entrezgene);Acc:283970]"
"23","ENSG00000197099",53.6142633788902,1.02551360632328,0.297289105538963,3.4495499068629,0.000561521926217196,0.00339260221861772,"3",186579476,186772986,-1,"lncRNA","","novel transcript, antisense to KNG1, HRG, FETUB, AHSG and DNAJB11"
"24","ENSG00000197291",261.233154984381,1.35540533617732,0.249119156464099,5.44079128805434,5.30444300896684e-08,1.82911320511697e-06,"17",42753914,42761257,-1,"lncRNA","RAMP2-AS1","RAMP2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44358]"
"25","ENSG00000197536",1370.13097371084,1.49234411007489,0.239078870911074,6.24205771253609,4.31851541482971e-10,3.98103444005603e-08,"5",132410636,132488702,1,"lncRNA","IRF1-AS1","IRF1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:33838]"
"26","ENSG00000197815",55.7045526990944,1.37708825856747,0.290044107806896,4.7478580722774,2.0558221279533e-06,3.67975880094853e-05,"17",17858227,17860041,1,"lncRNA","","novel transcript, antisense to TOM1L2"
"27","ENSG00000198221",8.59296767580044,1.96630597247893,0.68387477845458,2.87524271171747,0.00403717026573888,0.0165058587644796,"6",167822103,167826812,-1,"lncRNA","AFDN-DT","AFDN divergent transcript [Source:HGNC Symbol;Acc:HGNC:21236]"
"28","ENSG00000198671",6.45975715132348,2.12192087312936,0.860230746482037,2.46668801575284,0.0136369115458799,0.043046021202261,"12",65017468,65054124,1,"lncRNA","","novel transcript, antisense to WIF1"
"29","ENSG00000203325",49.3108659019712,1.17865819525512,0.399782506863948,2.94824854769405,0.00319580008403721,0.0136824490596406,"1",32052291,32073474,-1,"lncRNA","","novel transcript"
"30","ENSG00000203356",9.7423576593141,2.96695883191293,0.807194518578893,3.67564293813145,0.000237251158691619,0.00170428728904681,"1",51195095,51235096,-1,"lncRNA","LINC01562","long intergenic non-protein coding RNA 1562 [Source:HGNC Symbol;Acc:HGNC:51335]"
"31","ENSG00000203506",18.7371225106909,1.40484755713135,0.57992313269686,2.42247201038228,0.0154153132333307,0.0472921418567457,"3",29526251,29642809,-1,"lncRNA","RBMS3-AS2","RBMS3 antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:39988]"
"32","ENSG00000203527",19.1381869417715,1.36857985218821,0.524110136150995,2.61124477049596,0.00902132989136436,0.0311771342450793,"22",43275955,43283830,1,"lncRNA","SCUBE1-AS1","SCUBE1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40635]"
"33","ENSG00000203593",9.33746299040299,1.50819857258487,0.627872072664904,2.40207940159459,0.0163021694826272,0.0494093060681552,"12",2004666,2011392,1,"lncRNA","","novel transcript"
"34","ENSG00000203605",11.1547450258978,2.15305316676948,0.731457500797253,2.94351095507635,0.00324512337842695,0.013855445205985,"1",63139250,63163153,1,"lncRNA","","novel transcript"
"35","ENSG00000203635",51.484555930121,1.27316974882859,0.30576986337414,4.16381697914665,3.12971019977757e-05,0.00033337984141761,"2",1620510,1625419,-1,"lncRNA","","novel transcript"
"36","ENSG00000203709",4796.8433927929,1.10145887590349,0.286316804952177,3.84699345917701,0.000119576160428266,0.000988003489720021,"1",207801518,207879115,-1,"lncRNA","MIR29B2CHG","MIR29B2 and MIR29C host gene [Source:HGNC Symbol;Acc:HGNC:32018]"
"37","ENSG00000203721",17.8015810466692,1.82926355134248,0.62601633352876,2.92207000579552,0.00347713376240156,0.0146585960195915,"1",200253419,200400705,-1,"lncRNA","LINC00862","long intergenic non-protein coding RNA 862 [Source:HGNC Symbol;Acc:HGNC:21901]"
"38","ENSG00000203801",6.98648380870494,2.72833361218941,0.898972774826337,3.03494576097309,0.00240578947823583,0.0108928679672007,"6",108751654,108769942,1,"lncRNA","LINC00222","long intergenic non-protein coding RNA 222 [Source:HGNC Symbol;Acc:HGNC:21560]"
"39","ENSG00000203809",11.2143991956451,1.55205549051632,0.629842812523988,2.46419497000644,0.0137321391175641,0.0432545854226375,"6",104864464,104941447,-1,"lncRNA","LIN28B-AS1","LIN28B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:21553]"
"40","ENSG00000203876",13.3356386790975,2.37603670719201,0.771541910188551,3.07959512738763,0.00207282163206501,0.0097122286151548,"10",109940104,110008381,-1,"lncRNA","ADD3-AS1","ADD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48682]"
"41","ENSG00000204117",8.25665024488646,2.68054605271753,0.785798148725361,3.41123996927917,0.000646681502574096,0.00380539538863839,"20",37676889,37683234,1,"lncRNA","","novel transcript"
"42","ENSG00000204277",44.8498513102998,1.0654784407195,0.277065053775696,3.84558942457637,0.000120262993554122,0.000991372196864252,"17",78261349,78278492,-1,"lncRNA","LINC01993","long intergenic non-protein coding RNA 1993 [Source:HGNC Symbol;Acc:HGNC:52826]"
