"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000047644",956.210534525809,-1.06153956926367,0.262589498587066,-4.04258195767754,5.2865825086927e-05,0.0454914005452389,"X",10015254,10144474,1,"protein_coding","WWC3","WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]"
"2","ENSG00000076356",165.286092513591,-1.8183357016153,0.404759956166958,-4.49238041933491,7.04314670952767e-06,0.0147806115471815,"1",208022242,208244384,-1,"protein_coding","PLXNA2","plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]"
"3","ENSG00000118900",1206.01338170259,-1.37341914334081,0.306556987230375,-4.48014300945845,7.45930433872396e-06,0.0147806115471815,"16",4846665,4882401,1,"protein_coding","UBN1","ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]"
"4","ENSG00000124469",169.914422676409,-2.32487388606574,0.558222286180889,-4.16478156393846,3.1165080061912e-05,0.0385960038391741,"19",42580243,42595055,-1,"protein_coding","CEACAM8","CEA cell adhesion molecule 8 [Source:HGNC Symbol;Acc:HGNC:1820]"
"5","ENSG00000141441",19.7632632105364,5.48365470310649,1.25730414601209,4.36143849560944,1.29210119348105e-05,0.0213358209573558,"18",32124877,32470882,-1,"protein_coding","GAREM1","GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]"
"6","ENSG00000151838",51.7286118775992,2.06517308902815,0.511647133601656,4.0363229917672,5.42954552186841e-05,0.0454914005452389,"14",59504539,59576812,-1,"protein_coding","CCDC175","coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]"
"7","ENSG00000158470",1183.91399478643,-1.07549315994673,0.266681715182795,-4.03287176704086,5.50993496384423e-05,0.0454914005452389,"20",49632945,49713878,-1,"protein_coding","B4GALT5","beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]"
"8","ENSG00000164684",61.5496796648118,6.15233187224489,1.53447064762951,4.00941646016439,6.08689822642794e-05,0.0482447553426678,"8",80628451,80874781,-1,"protein_coding","ZNF704","zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]"
"9","ENSG00000169155",375.585551668062,-1.60716377074145,0.348378120826274,-4.61327412562427,3.96374977160262e-06,0.0147806115471815,"9",126805006,126838210,1,"protein_coding","ZBTB43","zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]"
"10","ENSG00000178074",248.252833370427,-1.06870373955847,0.264507849487777,-4.04034792021497,5.33719651509764e-05,0.0454914005452389,"2",199911293,199955935,1,"protein_coding","C2orf69","chromosome 2 open reading frame 69 [Source:HGNC Symbol;Acc:HGNC:26799]"
"11","ENSG00000182463",357.61107091252,-1.44509241064259,0.310017064201908,-4.66133183462905,3.14169710470673e-06,0.0147806115471815,"20",52972358,53495330,1,"protein_coding","TSHZ2","teashirt zinc finger homeobox 2 [Source:HGNC Symbol;Acc:HGNC:13010]"
"12","ENSG00000196391",8.25490286057964,-3.71548272853485,0.872519402424264,-4.25833823088806,2.05952176022443e-05,0.0293985402435789,"15",90352284,90369146,1,"protein_coding","ZNF774","zinc finger protein 774 [Source:HGNC Symbol;Acc:HGNC:33108]"
"13","ENSG00000197321",1041.6563465291,-1.20252585096144,0.255808151575196,-4.70088948908239,2.59030678325568e-06,0.0147806115471815,"10",29457338,29736959,-1,"protein_coding","SVIL","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"14","ENSG00000205111",10.4105092432589,4.15487484148932,0.910438475571391,4.56359759936741,5.02844169912411e-06,0.0147806115471815,"2",39175646,39229588,-1,"protein_coding","CDKL4","cyclin dependent kinase like 4 [Source:HGNC Symbol;Acc:HGNC:19287]"
"15","ENSG00000223768",217.156428573785,-1.55269018605326,0.341406443430118,-4.54792291104219,5.41779722862808e-06,0.0147806115471815,"21",45288050,45297806,1,"lncRNA","LINC00205","long intergenic non-protein coding RNA 205 [Source:HGNC Symbol;Acc:HGNC:16420]"
"16","ENSG00000229807",1910.10807975407,8.14153531881853,1.67968834704555,4.84705114084937,1.25310133438077e-06,0.0147806115471815,"X",73820649,73852723,-1,"lncRNA","XIST","X inactive specific transcript [Source:HGNC Symbol;Acc:HGNC:12810]"
"17","ENSG00000248360",494.326197123096,-1.51766474104994,0.363704710977571,-4.17279373965418,3.00887309722663e-05,0.0385960038391741,"4",14470465,14888169,-1,"lncRNA","LINC00504","long intergenic non-protein coding RNA 504 [Source:HGNC Symbol;Acc:HGNC:43555]"
"18","ENSG00000272398",397.728059565887,-1.77616145622522,0.417288383773972,-4.25643637659297,2.07711109467628e-05,0.0293985402435789,"6",106969831,106975627,-1,"protein_coding","CD24","CD24 molecule [Source:HGNC Symbol;Acc:HGNC:1645]"
"19","ENSG00000273356",30.6354536621807,-2.16522758370767,0.495933611963691,-4.36596256328396,1.26564157181721e-05,0.0213358209573558,"3",50669989,50672048,1,"lncRNA","LINC02019","long intergenic non-protein coding RNA 2019 [Source:HGNC Symbol;Acc:HGNC:52854]"
"20","ENSG00000279202",78.4796511994542,-1.51391305508413,0.332965657531749,-4.54675435991405,5.44795192329789e-06,0.0147806115471815,"16",24098239,24099971,1,"TEC","","novel transcript"
