"","ensembl_gene_id","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000047644","X",10015254,10144474,1,"protein_coding","WWC3","WWC family member 3 [Source:HGNC Symbol;Acc:HGNC:29237]"
"2","ENSG00000076356","1",208022242,208244384,-1,"protein_coding","PLXNA2","plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]"
"3","ENSG00000078687","17",77959240,78108835,1,"protein_coding","TNRC6C","trinucleotide repeat containing adaptor 6C [Source:HGNC Symbol;Acc:HGNC:29318]"
"4","ENSG00000106992","9",127866486,127877675,-1,"protein_coding","AK1","adenylate kinase 1 [Source:HGNC Symbol;Acc:HGNC:361]"
"5","ENSG00000116117","2",204545475,205620162,1,"protein_coding","PARD3B","par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]"
"6","ENSG00000118900","16",4846665,4882401,1,"protein_coding","UBN1","ubinuclein 1 [Source:HGNC Symbol;Acc:HGNC:12506]"
"7","ENSG00000124469","19",42580243,42595055,-1,"protein_coding","CEACAM8","CEA cell adhesion molecule 8 [Source:HGNC Symbol;Acc:HGNC:1820]"
"8","ENSG00000126550","4",70050438,70058848,1,"protein_coding","HTN1","histatin 1 [Source:HGNC Symbol;Acc:HGNC:5283]"
"9","ENSG00000137270","6",53126961,53148841,-1,"protein_coding","GCM1","glial cells missing transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:4197]"
"10","ENSG00000141441","18",32124877,32470882,-1,"protein_coding","GAREM1","GRB2 associated regulator of MAPK1 subtype 1 [Source:HGNC Symbol;Acc:HGNC:26136]"
"11","ENSG00000144668","3",37452115,37823507,1,"protein_coding","ITGA9","integrin subunit alpha 9 [Source:HGNC Symbol;Acc:HGNC:6145]"
"12","ENSG00000147465","8",38142700,38150992,-1,"protein_coding","STAR","steroidogenic acute regulatory protein [Source:HGNC Symbol;Acc:HGNC:11359]"
"13","ENSG00000151838","14",59504539,59576812,-1,"protein_coding","CCDC175","coiled-coil domain containing 175 [Source:HGNC Symbol;Acc:HGNC:19847]"
"14","ENSG00000152133","2",37084451,37099244,1,"protein_coding","GPATCH11","G-patch domain containing 11 [Source:HGNC Symbol;Acc:HGNC:26768]"
"15","ENSG00000154997","7",55793540,55862755,-1,"protein_coding","SEPTIN14","septin 14 [Source:HGNC Symbol;Acc:HGNC:33280]"
"16","ENSG00000158470","20",49632945,49713878,-1,"protein_coding","B4GALT5","beta-1,4-galactosyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:928]"
"17","ENSG00000164684","8",80628451,80874781,-1,"protein_coding","ZNF704","zinc finger protein 704 [Source:HGNC Symbol;Acc:HGNC:32291]"
"18","ENSG00000169155","9",126805006,126838210,1,"protein_coding","ZBTB43","zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:HGNC:17908]"
"19","ENSG00000170004","17",7884796,7912760,1,"protein_coding","CHD3","chromodomain helicase DNA binding protein 3 [Source:HGNC Symbol;Acc:HGNC:1918]"
"20","ENSG00000170485","2",100820139,100996829,1,"protein_coding","NPAS2","neuronal PAS domain protein 2 [Source:HGNC Symbol;Acc:HGNC:7895]"
