"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000100058",398.892793850633,1.13441996085621,0.243142632998907,4.66565631400935,3.07633526218266e-06,5.15042742682729e-05,"22",25448105,25520854,1,"transcribed_unprocessed_pseudogene","CRYBB2P1","crystallin beta B2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2399]"
"2","ENSG00000104970",95.6014666104765,2.46085546944811,0.302254753674061,8.14166010471349,3.89894518150432e-16,4.04889825909041e-13,"19",54532692,54545771,1,"transcribed_unprocessed_pseudogene","KIR3DX1","killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25043]"
"3","ENSG00000131401",542.563497361863,-1.07861093290485,0.290408413969512,-3.71411736375547,0.00020391414858839,0.00150929251628596,"19",50333796,50344767,-1,"transcribed_unprocessed_pseudogene","NAPSB","napsin B aspartic peptidase, pseudogene [Source:HGNC Symbol;Acc:HGNC:13396]"
"4","ENSG00000133519",19.0493387839021,1.24460652910407,0.44809723260297,2.77753674548318,0.00547726465537558,0.0210961663612622,"22",23390606,23402726,-1,"transcribed_unprocessed_pseudogene","ZDHHC8P1","ZDHHC8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26461]"
"5","ENSG00000133624",648.055226622,1.52752207223226,0.203109317770841,7.52068929676428,5.44881988658758e-14,2.65624627490864e-11,"7",149547154,149624752,-1,"transcribed_unprocessed_pseudogene","ZNF767P","zinc finger family member 767, pseudogene [Source:HGNC Symbol;Acc:HGNC:21884]"
"6","ENSG00000150175",3.39447940301194,3.50405130335465,1.17404459257919,2.98459813664897,0.00283951100021996,0.0124551733393558,"10",46870858,46894562,1,"unprocessed_pseudogene","FRMPD2B","FERM and PDZ domain containing 2B, pseudogene [Source:HGNC Symbol;Acc:HGNC:16843]"
"7","ENSG00000164669",13.5318976612084,-3.87156209008005,1.22618272190694,-3.15741040948535,0.00159177141070985,0.00783190595944354,"7",65141032,65234216,1,"transcribed_unprocessed_pseudogene","INTS4P1","integrator complex subunit 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:21925]"
"8","ENSG00000166473",11.4258562191213,1.91972487062348,0.570613106989263,3.36431961886148,0.000767326245257375,0.00436350986038172,"16",81100875,81220370,-1,"polymorphic_pseudogene","PKD1L2","polycystin 1 like 2 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:21715]"
"9","ENSG00000167747",213.388187776706,-1.06146121721431,0.376844296959824,-2.81671031186515,0.0048518265643118,0.0190864101332152,"19",50797704,50804929,-1,"transcribed_unitary_pseudogene","C19orf48","chromosome 19 open reading frame 48 [Source:HGNC Symbol;Acc:HGNC:29667]"
"10","ENSG00000168852",103.712968671494,-1.72953944498625,0.425523404127747,-4.06449898691595,4.81357480105212e-05,0.000472463863812703,"13",40812309,40921749,-1,"transcribed_unprocessed_pseudogene","TPTE2P5","transmembrane phosphoinositide 3-phosphatase and tensin homolog 2 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:42356]"
