"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000124835",3.30143151615136,-4.08649399186035,1.29718319239836,-3.15028287123026,0.00163112449913322,0.00511808395549063,"2",237048599,237056167,-1,"lncRNA","","novel transcript"
"2","ENSG00000157306",154.11373288812,-1.40979713837819,0.227286294871193,-6.20273712137878,5.54894861750046e-10,5.91620755127004e-09,"14",23511760,23560778,1,"lncRNA","ZFHX2-AS1","ZFHX2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52658]"
"3","ENSG00000163364",6.2950729747783,-2.37950815322264,0.924115897676735,-2.57490230306049,0.0100268404057955,0.0250153386508396,"2",176629572,176637931,-1,"lncRNA","LINC01116","long intergenic non-protein coding RNA 1116 [Source:HGNC Symbol;Acc:HGNC:49259]"
"4","ENSG00000170919",519.46421526788,-1.59220684082739,0.162927758318534,-9.77247129193619,1.47802033479411e-22,7.58258940063612e-21,"13",45341345,45417975,1,"lncRNA","TPT1-AS1","TPT1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43686]"
"5","ENSG00000174680",40.9820043505807,-1.29933964211627,0.319269168182049,-4.06973103452124,4.70674442601882e-05,0.000212691715136994,"21",29748175,29764002,1,"lncRNA","GRIK1-AS1","GRIK1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:16458]"
"6","ENSG00000176593",182.479766793405,-1.30591910036031,0.288459569684911,-4.52721711325712,5.97655276567031e-06,3.23603121840531e-05,"19",58002061,58011232,1,"lncRNA","","novel transcript, antisense to ZNF606"
"7","ENSG00000176912",13.5766927574589,-2.06400764890538,0.508628648575878,-4.05798543728208,4.94978535984778e-05,0.000222313779764708,"18",630886,658340,-1,"lncRNA","TYMSOS","TYMS opposite strand [Source:HGNC Symbol;Acc:HGNC:29553]"
"8","ENSG00000177369",24.7137196283381,-1.20488990342092,0.370889610729922,-3.24864830009571,0.00115954747748896,0.00378168981001921,"17",49230853,49318011,1,"lncRNA","FLJ40194","uncharacterized FLJ40194 [Source:NCBI gene (formerly Entrezgene);Acc:124871]"
"9","ENSG00000177800",17.1399287102288,-3.13015683197793,0.583491585523603,-5.36452780063493,8.11612592685611e-08,6.12337857325675e-07,"1",229249636,229251810,1,"lncRNA","TMEM78","transmembrane protein 78 [Source:HGNC Symbol;Acc:HGNC:32307]"
"10","ENSG00000177993",125.923336402044,-1.56722162797963,0.224535879194599,-6.9798271599229,2.95543430902429e-12,4.4381606742297e-11,"22",29024999,29031476,-1,"lncRNA","ZNRF3-AS1","ZNRF3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41927]"
"11","ENSG00000178722",93.5874238639317,-1.62000230795844,0.259348097294358,-6.24643991939432,4.19913432830687e-10,4.57617837008596e-09,"5",61610424,61793401,1,"lncRNA","C5orf64","chromosome 5 putative open reading frame 64 [Source:HGNC Symbol;Acc:HGNC:26744]"
"12","ENSG00000179219",6.7799737420285,-2.57294353647571,0.951199046401519,-2.70494755667535,0.00683151736953535,0.0179304563722968,"16",85282958,85285963,1,"lncRNA","LINC00311","long intergenic non-protein coding RNA 311 [Source:HGNC Symbol;Acc:HGNC:28312]"
"13","ENSG00000179253",17.5686993777768,-1.19568822863934,0.504946691594706,-2.36794942623181,0.0178869807648773,0.0411873748605613,"20",61717506,61719748,-1,"lncRNA","","novel transcript, antisense to CDH4"
"14","ENSG00000179818",2558.10068254133,-1.50245956264368,0.326160621839322,-4.60650201784275,4.09499089468285e-06,2.285696303668e-05,"2",69960104,70103220,-1,"lncRNA","PCBP1-AS1","PCBP1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:42948]"
"15","ENSG00000179935",18.7813817574355,-1.15764287129061,0.45432120796202,-2.54807138870653,0.0108320302167322,0.0267330885014615,"20",18786065,18794579,-1,"lncRNA","LINC00652","long intergenic non-protein coding RNA 652 [Source:HGNC Symbol;Acc:HGNC:25003]"
"16","ENSG00000180139",124.738601749639,-1.829628676056,0.331208837943852,-5.52409376336198,3.31190570734413e-08,2.68959528570752e-07,"10",88932390,88940820,1,"lncRNA","ACTA2-AS1","ACTA2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:45169]"
"17","ENSG00000180712",23.3465337430337,-1.72321506346866,0.741907999145988,-2.32268025880871,0.0201963355572468,0.045717816309966,"4",184334292,184353977,-1,"lncRNA","LINC02363","long intergenic non-protein coding RNA 2363 [Source:HGNC Symbol;Acc:HGNC:53286]"
"18","ENSG00000182352",7.86015203817281,-3.26164286811987,0.942213270010457,-3.46168216043452,0.000536810705209835,0.00189714513289156,"17",74584679,74594209,1,"lncRNA","C17orf77","chromosome 17 putative open reading frame 77 [Source:HGNC Symbol;Acc:HGNC:26480]"
"19","ENSG00000183308",110.284920995226,-1.13692756152202,0.285248906824302,-3.98573854034893,6.72705560669724e-05,0.000293363639091079,"2",200963263,201009102,1,"lncRNA","","novel transcript"
