"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000018607",3.0760002705785,-5.22195854990361,1.47271221769188,-3.54581057125184,0.000391407460186949,0.00143063947906616,"2",132304806,132326855,1,"transcribed_unprocessed_pseudogene","ZNF806","zinc finger protein 806 [Source:HGNC Symbol;Acc:HGNC:33228]"
"2","ENSG00000088340",14.8271092307698,-1.69548446416646,0.64041374970343,-2.64748292014596,0.00810934560568864,0.0208358053358341,"20",35558737,35607562,-1,"transcribed_unitary_pseudogene","FER1L4","fer-1 like family member 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:15801]"
"3","ENSG00000099251",47.5516899851475,-1.52489669887746,0.327673245834658,-4.65371133671047,3.2601312801029e-06,1.84842767545083e-05,"10",38356380,38378505,1,"transcribed_unprocessed_pseudogene","HSD17B7P2","hydroxysteroid 17-beta dehydrogenase 7 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:28120]"
"4","ENSG00000100058",350.453288707902,-1.47980608237332,0.202608891359024,-7.30375687092182,2.79841853640865e-13,4.8366207169547e-12,"22",25448105,25520854,1,"transcribed_unprocessed_pseudogene","CRYBB2P1","crystallin beta B2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2399]"
"5","ENSG00000100181",279.611367481782,1.98232131287812,0.451916971494217,4.38647237859596,1.15203786719214e-05,5.92171079287704e-05,"22",16601887,16698742,1,"transcribed_unprocessed_pseudogene","TPTEP1","TPTE pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:43648]"
"6","ENSG00000104970",96.1246537531665,-1.53311827098515,0.44990206844839,-3.40767108778255,0.000655198197147167,0.00226760001043902,"19",54532692,54545771,1,"transcribed_unprocessed_pseudogene","KIR3DX1","killer cell immunoglobulin like receptor, three Ig domains X1 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25043]"
"7","ENSG00000124549",98.4100323773328,-1.03344104445425,0.367951752338556,-2.80863194124257,0.00497524907091279,0.0135758259218624,"6",26421391,26432383,1,"transcribed_unprocessed_pseudogene","BTN2A3P","butyrophilin subfamily 2 member A3, pseudogene [Source:HGNC Symbol;Acc:HGNC:13229]"
"8","ENSG00000131401",719.579705420894,1.60177257372724,0.228617751330657,7.00633509167248,2.44641598794366e-12,3.71846808096407e-11,"19",50333796,50344767,-1,"transcribed_unprocessed_pseudogene","NAPSB","napsin B aspartic peptidase, pseudogene [Source:HGNC Symbol;Acc:HGNC:13396]"
"9","ENSG00000132967",6.65593648422398,-3.74152043768902,1.31574891983316,-2.84364317636183,0.00446009655715452,0.012338610167482,"3",22381819,22382929,1,"transcribed_processed_pseudogene","HMGB1P5","high mobility group box 1 pseudogene 5 [Source:HGNC Symbol;Acc:HGNC:4997]"
"10","ENSG00000133519",19.4159940715512,-1.17018394496766,0.502506152739805,-2.32869575543998,0.0198751891450197,0.0451253547001472,"22",23390606,23402726,-1,"transcribed_unprocessed_pseudogene","ZDHHC8P1","ZDHHC8 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:26461]"
"11","ENSG00000133624",652.46546913623,-1.93302649849427,0.231509169141116,-8.34967576301911,6.84506137453752e-17,1.87762364639017e-15,"7",149547154,149624752,-1,"transcribed_unprocessed_pseudogene","ZNF767P","zinc finger family member 767, pseudogene [Source:HGNC Symbol;Acc:HGNC:21884]"
