"","ensgene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","chromosome_name","start_position","end_position","strand","gene_biotype","external_gene_name","description"
"1","ENSG00000002746",38.4320781522664,-3.7172972655018,0.46709553148898,-7.95832332981652,1.74386166883386e-15,4.06595115417579e-14,"7",43112629,43566001,1,"protein_coding","HECW1","HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:HGNC:22195]"
"2","ENSG00000003756",4215.76105091746,-1.05872747296409,0.117651950770789,-8.99880933573908,2.28178795483762e-19,8.49438709237872e-18,"3",50088919,50119021,1,"protein_coding","RBM5","RNA binding motif protein 5 [Source:HGNC Symbol;Acc:HGNC:9902]"
"3","ENSG00000004534",1584.5974086861,-1.160383880643,0.173936760348973,-6.67129753546577,2.53551575510677e-11,3.31174490273897e-10,"3",49940007,50100045,1,"protein_coding","RBM6","RNA binding motif protein 6 [Source:HGNC Symbol;Acc:HGNC:9903]"
"4","ENSG00000005339",3680.65506798529,-2.24130943382601,0.18742135167994,-11.9586664685542,5.84937201650951e-33,7.29935719243299e-31,"16",3725054,3880713,-1,"protein_coding","CREBBP","CREB binding protein [Source:HGNC Symbol;Acc:HGNC:2348]"
"5","ENSG00000005379",787.042106165981,-1.17767274018954,0.325290048344006,-3.62037740221339,0.000294173614314324,0.00110377395094223,"17",58301228,58328795,-1,"protein_coding","TSPOAP1","TSPO associated protein 1 [Source:HGNC Symbol;Acc:HGNC:16831]"
"6","ENSG00000005893",3229.60679938622,-1.47302793520381,0.26438530754348,-5.57151964642195,2.52526881275181e-08,2.09297302909084e-07,"X",120426148,120469365,-1,"protein_coding","LAMP2","lysosomal associated membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:6501]"
"7","ENSG00000006042",7.12949990509114,-1.96148663871864,0.822235842074806,-2.38555234197658,0.0170534954195514,0.0395223566354239,"17",32927910,32945106,1,"protein_coding","TMEM98","transmembrane protein 98 [Source:HGNC Symbol;Acc:HGNC:24529]"
"8","ENSG00000006638",197.159985145851,-1.01176693680833,0.220710179790275,-4.58414259718217,4.55853076412831e-06,2.52165968180084e-05,"19",3594507,3606875,-1,"protein_coding","TBXA2R","thromboxane A2 receptor [Source:HGNC Symbol;Acc:HGNC:11608]"
"9","ENSG00000006704",61.3509387043341,-1.38726170560878,0.384810902555245,-3.60504782062307,0.000312095454996851,0.00116509792047982,"7",74453790,74602605,1,"protein_coding","GTF2IRD1","GTF2I repeat domain containing 1 [Source:HGNC Symbol;Acc:HGNC:4661]"
"10","ENSG00000007168",3906.38517911503,-1.01577666570229,0.154198564829577,-6.58745862404714,4.47418611044314e-11,5.64422718631128e-10,"17",2593210,2685615,1,"protein_coding","PAFAH1B1","platelet activating factor acetylhydrolase 1b regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:8574]"
"11","ENSG00000007174",5.69161147478898,-1.96388479972721,0.795756466369566,-2.46794701988025,0.0135890430573291,0.0325255978805769,"17",11598470,11969748,1,"protein_coding","DNAH9","dynein axonemal heavy chain 9 [Source:HGNC Symbol;Acc:HGNC:2953]"
"12","ENSG00000007392",1149.07390706019,-1.23086180363316,0.156422786744252,-7.86881393211329,3.58019185014369e-15,7.99005032550959e-14,"16",188969,229463,-1,"protein_coding","LUC7L","LUC7 like [Source:HGNC Symbol;Acc:HGNC:6723]"
"13","ENSG00000007402",264.770134587454,-1.01163556359714,0.314695874406387,-3.21464514113952,0.00130605869169322,0.00420533495156944,"3",50362613,50504244,-1,"protein_coding","CACNA2D2","calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]"
"14","ENSG00000007923",371.926915602511,-1.01477570949564,0.19379161117342,-5.23642743538335,1.63714565388685e-07,1.17928116351628e-06,"1",6634168,6701924,-1,"protein_coding","DNAJC11","DnaJ heat shock protein family (Hsp40) member C11 [Source:HGNC Symbol;Acc:HGNC:25570]"
"15","ENSG00000007944",1298.30372963636,-1.06956026819683,0.184442236823848,-5.7988901382622,6.67552454708079e-09,6.10163144640328e-08,"6",16129086,16148248,1,"protein_coding","MYLIP","myosin regulatory light chain interacting protein [Source:HGNC Symbol;Acc:HGNC:21155]"
"16","ENSG00000008083",2146.55707877866,-1.27994372475859,0.188542144031491,-6.78863461181816,1.13199730137004e-11,1.55979721464052e-10,"6",15246069,15522042,1,"protein_coding","JARID2","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]"
"17","ENSG00000008256",264.863468095587,-1.36340450087111,0.25631276762527,-5.31929998455796,1.04167259873029e-07,7.74696633303054e-07,"7",6161776,6272644,-1,"protein_coding","CYTH3","cytohesin 3 [Source:HGNC Symbol;Acc:HGNC:9504]"
"18","ENSG00000008294",2670.37404175845,-1.4506609426044,0.207889835094136,-6.97802729001884,2.9935352120618e-12,4.49030281809269e-11,"17",50962174,51120868,-1,"protein_coding","SPAG9","sperm associated antigen 9 [Source:HGNC Symbol;Acc:HGNC:14524]"
"19","ENSG00000008516",1975.347825152,-2.80570160133142,0.771295874923325,-3.63764632037003,0.000275140889833689,0.0010395515070049,"16",3046062,3060726,1,"protein_coding","MMP25","matrix metallopeptidase 25 [Source:HGNC Symbol;Acc:HGNC:14246]"
"20","ENSG00000009335",1888.09596520792,-1.1357199850512,0.208028273613283,-5.45945012821893,4.7761146896317e-08,3.76480214858868e-07,"7",157138916,157269370,1,"protein_coding","UBE3C","ubiquitin protein ligase E3C [Source:HGNC Symbol;Acc:HGNC:16803]"
"21","ENSG00000009765",22.1000576572574,-1.55867401628395,0.525974084723337,-2.9634045888474,0.00304256368320287,0.00884419758306347,"6",150368892,150405969,1,"protein_coding","IYD","iodotyrosine deiodinase [Source:HGNC Symbol;Acc:HGNC:21071]"
"22","ENSG00000009830",100.893994348265,-1.2905633916884,0.338061250341925,-3.81754309428567,0.000134787249173977,0.000547805058569468,"14",77274956,77320883,-1,"protein_coding","POMT2","protein O-mannosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:19743]"
"23","ENSG00000009950",93.4847491705575,-1.41872183335011,0.290636979151172,-4.8814223072838,1.0532341796615e-06,6.56234517004281e-06,"7",73593194,73624543,-1,"protein_coding","MLXIPL","MLX interacting protein like [Source:HGNC Symbol;Acc:HGNC:12744]"
"24","ENSG00000010404",3830.72905490026,-1.74244887736372,0.226264325069554,-7.70094391516689,1.35064765890244e-14,2.78080672142734e-13,"X",149476988,149521096,-1,"protein_coding","IDS","iduronate 2-sulfatase [Source:HGNC Symbol;Acc:HGNC:5389]"
"25","ENSG00000010818",2915.16475798627,-1.53370391770897,0.179824955448715,-8.52887138985763,1.47782371315595e-17,4.40364958471805e-16,"6",142751469,142956698,-1,"protein_coding","HIVEP2","HIVEP zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:4921]"
"26","ENSG00000011198",1617.48431222441,-1.43028873177638,0.315725856650631,-4.53016026925879,5.89389588339175e-06,3.19453002815156e-05,"3",43690108,43734371,1,"protein_coding","ABHD5","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase [Source:HGNC Symbol;Acc:HGNC:21396]"
"27","ENSG00000012171",13.1364227337565,-3.1553143724475,0.807620918539846,-3.90692501892127,9.3478145681581e-05,0.000394388747970861,"3",50267558,50277546,1,"protein_coding","SEMA3B","semaphorin 3B [Source:HGNC Symbol;Acc:HGNC:10724]"
"28","ENSG00000013293",66.3822123905219,-1.49520578453828,0.308276245933256,-4.85021406697032,1.23328300747449e-06,7.60395786097701e-06,"3",170459548,170586075,-1,"protein_coding","SLC7A14","solute carrier family 7 member 14 [Source:HGNC Symbol;Acc:HGNC:29326]"
"29","ENSG00000013374",1823.21405910794,-1.35888642204645,0.207353718178765,-6.55347024389945,5.62151388558364e-11,6.97897426804358e-10,"7",151341772,151378449,1,"protein_coding","NUB1","negative regulator of ubiquitin like proteins 1 [Source:HGNC Symbol;Acc:HGNC:17623]"
"30","ENSG00000015133",3024.10328894278,-1.02273502669676,0.131801190295822,-7.75967974493458,8.51441142396228e-15,1.81777554738086e-13,"14",91271323,91417844,-1,"protein_coding","CCDC88C","coiled-coil domain containing 88C [Source:HGNC Symbol;Acc:HGNC:19967]"
"31","ENSG00000016391",117.988518986598,-1.69832205223571,0.279508043628802,-6.07611155008887,1.23131770290236e-09,1.25615111129618e-08,"3",53812335,53846419,-1,"protein_coding","CHDH","choline dehydrogenase [Source:HGNC Symbol;Acc:HGNC:24288]"
